anzahl;vorname;geschlecht
65;Marie;w
57;Sophie;w
49;Charlotte;w
41;Luise;w
40;Anna;w
39;Alexander;m
37;Emil;m
36;Paul;m
35;Jakob;m
35;Maximilian;m
29;Maria;w
28;Elias;m
28;Mila;w
27;David;m
27;Karl;m
27;Max;m
26;Elisabeth;w
26;Emilia;w
26;Luca;m
25;Mia;w
25;Anton;m
25;Felix;m
25;Leon;m
24;Mathilda;w
24;Jonathan;m
24;Louis;m
24;Theo;m
23;Anh;w
23;Emma;w
23;Ida;w
23;Finn;m
22;Lena;w
22;Oskar;m
22;Theodor;m
20;Clara;w
20;Ella;w
20;Johanna;w
20;Sophia;w
20;Leo;m
20;Noah;m
19;Ali;m
19;Benjamin;m
19;Luis;m
19;Tim;m
19;Valentin;m
18;Elif;w
18;Greta;w
18;Carl;m
18;Henry;m
18;Johannes;m
17;Arthur;m
17;Daniel;m
17;Gabriel;m
17;Jonas;m
16;Anh;m
16;Kevin;m
16;Levi;m
16;Lukas;m
16;Milan;m
15;Lina;w
15;Mira;w
15;Zoe;w
15;Christian;m
14;Alma;w
14;Frida;w
14;Helena;w
14;Martha;w
14;Paula;w
14;Edgar;m
14;Julian;m
14;Julius;m
14;Moritz;m
13;Amelie;w
13;Elisa;w
13;Hanna;w
13;Hannah;w
13;Marlene;w
13;Matilda;w
13;Maya;w
13;Mina;w
13;Rosa;w
13;Jan;m
13;Mika;m
13;Richard;m
12;Antonia;w
12;Emily;w
12;Helene;w
12;Josephine;w
12;Katharina;w
12;Laura;w
12;Lea;w
12;Ben;m
12;Friedrich;m
12;Konstantin;m
12;Muhammed;m
12;Niklas;m
12;Peter;m
12;Vincent;m
11;Ava;w
11;Elsa;w
11;Frieda;w
11;Lara;w
11;Luisa;w
11;Tilda;w
11;Victoria;w
11;August;m
11;Bruno;m
11;Caspar;m
11;Henri;m
11;Lasse;m
11;Levin;m
11;Liam;m
11;Mattis;m
11;Maxim;m
11;Minh;m
11;Mustafa;m
11;Philipp;m
11;Samuel;m
11;Toni;m
11;Ömer;m
10;Alice;w
10;Ela;w
10;Julia;w
10;Lucia;w
10;Nur;w
10;Ruth;w
10;Bao;m
10;Franz;m
10;Hugo;m
10;Johann;m
10;Joshua;m
10;Linus;m
10;Nam;m
10;Ole;m
10;Otto;m
9;Alexandra;w
9;Amalia;w
9;An;w
9;Eva;w
9;Leni;w
9;Leonie;w
9;Luna;w
9;Ronja;w
9;Adam;m
9;Adrian;m
9;Ahmad;m
9;Ibrahim;m
9;Leonard;m
9;Malik;m
9;Mateo;m
9;Milo;m
9;Robert;m
9;Thomas;m
9;Yusuf;m
8;Azra;w
8;Carlotta;w
8;Daria;w
8;Klara;w
8;Louise;w
8;Lucy;w
8;Magdalena;w
8;Mara;w
8;Nele;w
8;Nina;w
8;Nora;w
8;Pia;w
8;Sara;w
8;Sofia;w
8;Can;m
8;Ferdinand;m
8;Fynn;m
8;Gustav;m
8;James;m
8;Jonah;m
