anzahl;vorname;geschlecht
69;Marie;w
58;Sophie;w
48;Charlotte;w
43;Paul;m
43;Mia;w
41;Emma;w
40;Alexander;m
40;Emil;m
36;Oskar;m
35;Maximilian;m
35;Maria;w
33;Finn;m
29;Emily;w
27;Felix;m
26;Elias;m
25;Emilia;w
25;David;m
25;Leon;m
24;Johanna;w
24;Luise;w
24;Anton;m
24;Louis;m
23;Lea;w
23;Theodor;m
23;Tim;m
22;Anna;w
22;Ben;m
22;Jonas;m
22;Luca;m
21;Lena;w
21;Lina;w
20;Moritz;m
19;Leonie;w
19;Sophia;w
19;Lennard;m
19;Lukas;m
18;Ella;w
18;Julia;w
18;Luisa;w
18;Noah;m
18;Oliver;m
17;Hannah;w
17;Konstantin;m
16;Mara;w
16;Friedrich;m
16;Leonard;m
16;Maxim;m
16;Theo;m
15;Alexandra;w
15;Greta;w
15;Daniel;m
15;Liam;m
15;Thomas;m
15;Tom;m
14;Helene;w
14;Lisa;w
14;Melina;w
14;Nele;w
14;Florian;m
14;Max;m
13;Amelie;w
13;Elisabeth;w
13;Jasmin;w
13;Lilly;w
13;Pauline;w
13;Pia;w
13;Adrian;m
13;Victoria;w
13;Arthur;m
13;Erik;m
13;Jayden;m
12;Frieda;w
12;Hanna;w
12;Jolie;w
12;Andreas;m
12;Klara;w
12;Benjamin;m
12;Maja;w
12;Henry;m
12;Leo;m
12;Niklas;m
12;Ole;m
11;Helena;w
11;Lara;w
11;Paula;w
11;Anh;m
11;Fabian;m
11;Jakob;m
11;Mika;m
11;Milan;m
11;Pepe;m
11;Philipp;m
11;Wilhelm;m
10;Amy;w
10;Clara;w
10;Luna;w
10;Mathilda;w
10;Merle;w
10;Mila;w
10;Sarah;w
10;Christian;m
10;Emilio;m
10;Fritz;m
10;Joel;m
10;John;m
10;Karl;m
10;Oscar;m
10;Timo;m
10;Vincent;m
9;Anastasia;w
9;Anh;w
9;Antonia;w
9;Elena;w
9;Josephine;w
9;Katharina;w
9;Laura;w
9;Leni;w
9;Mira;w
9;Sofia;w
9;Fynn;m
9;Gia;m
9;Johann;m
9;Johannes;m
9;Kevin;m
9;Lucas;m
9;Nils;m
9;Philip;m
9;Sam;m
8;Ida;w
8;Jenny;w
8;Linh;w
8;Lotta;w
8;Martha;w
8;Melissa;w
8;Mina;w
8;Rosalie;w
8;Valentina;w
8;Aaron;m
8;Benedikt;m
8;Damian;m
8;Franz;m
8;Frederik;m
8;Gabriel;m
8;Huy;m
8;Jannik;m
8;Julius;m
8;Martin;m
7;Carla;w
7;Fabienne;w
7;Frida;w
7;Isabella;w
7;Karlotta;w
7;Lily;w
7;Nora;w
7;Sara;w
7;Viktoria;w
7;Bennet;m
7;Carl;m
7;Dominik;m
7;Ferdinand;m
7;Frank;m
7;Jonathan;m
7;Linus;m
7;Luke;m
7;Noel;m
7;Phillip;m
7;Samuel;m
7;Stefan;m
7;Tobias;m
6;Alice;w
6;Alina;w
6;Amalia;w
6;Ava;w
6;Elisa;w
6;Elly;w
6;Elsa;w
6;Joleen;w
6;Lilli;w
6;Milla;w
6;Olivia;w
6;Paulina;w
6;Ronja;w
6;Vanessa;w
6;Adam;m
6;Albert;m
6;Bao;m
6;Dean;m
6;Gustav;m
6;Hannes;m
6;Jannis;m
6;Jason;m
6;Johnny;m
6;Julian;m
6;Levi;m
6;Luis;m
6;Malte;m
6;Mats;m
6;Matti;m
6;Maurice;m
6;Milo;m
6;Minh;m
6;Nam;m
6;Nick;m
6;Phil;m
6;Simon;m
6;Valentin;m
5;An;w
5;Annabelle;w
5;Aurora;w
5;Bao;w
5;Carlotta;w
5;Elise;w
5;Josefine;w
5;Lene;w
5;Lia;w
5;Lou;w
5;Lucy;w
5;Malou;w
5;Maya;w
5;Minh;w
5;Monika;w
5;Nina;w
5;Nova;w
5;Sofie;w
5;Violetta;w
5;Vy;w
5;Zoey;w
5;Antonio;m
5;Charlie;m
5;Duc;m
5;Henrik;m
5;Hugo;m
5;Jan;m
5;Joshua;m
5;Justus;m
5;Kai;m
5;Leopold;m
5;Levin;m
5;Marlon;m
5;Matteo;m
5;Michael;m
5;Otto;m
5;Pascal;m
5;Quang;m
5;Robin;m
5;Tyler;m
5;Uwe;m
5;Werner;m
5;William;m
4;Amelia;w
4;Andrea;w
4;Annabell;w
4;Anni;w
4;Chi;w
4;Elin;w
4;Emelie;w
4;Emilie;w
4;Erna;w
4;Eva;w
4;Friederike;w
4;Hà;w
4;Isabel;w
4;Isabelle;w
4;Julie;w
4;Juna;w
4;Karla;w
4;Magdalena;w
4;Marlene;w
4;Marta;w
4;Milena;w
4;Miriam;w
4;Nhi;w
4;Romy;w
4;Rose;w
4;Amir;m
4;Theresa;w
4;Ansgar;m
4;Tilda;w
4;Bela;m
4;Zoe;w
4;Can;m
4;Carlo;m
4;Caspar;m
4;Henri;m
4;James;m
4;Janosch;m
4;Jerome;m
4;Joachim;m
4;Julien;m
4;Lennox;m
4;Lenny;m
4;Lion;m
4;Luka;m
4;Marvin;m
4;Nikita;m
4;Nikolas;m
4;Nino;m
4;Olaf;m
4;Peter;m
4;Rafael;m
4;Ragnar;m
4;René;m
4;Sascha;m
4;Silas;m
4;Toni;m
4;Willi;m
4;Wolfgang;m
3;Angelique;w
3;Ann;w
3;Anne;w
3;Annelie;w
3;Anouk;w
3;Ariana;w
3;Aurelia;w
3;Bella;w
3;Cataleya;w
3;Celine;w
3;Charlotta;w
3;Daria;w
3;Edina;w
3;Elea;w
3;Ellie;w
3;Emmi;w
3;Erika;w
3;Evelyn;w
3;Fatima;w
3;Felicia;w
3;Fiona;w
3;Flora;w
3;Florentine;w
3;Fritzi;w
3;Grace;w
3;Ha;w
3;Hana;w
3;Amar;m
3;Hope;w
3;Amon;m
3;Isabell;w
3;André;m
3;Jessica;w
3;Anthony;m
3;Jodie;w
3;Arik;m
3;Joyce;w
3;Arne;m
3;Jule;w
3;Artur;m
3;Juli;w
3;August;m
3;Julika;w
3;Bastian;m
3;Kim;w
3;Brian;m
3;Kira;w
3;Bryan;m
3;Käthe;w
3;Bảo;m
3;Linda;w
3;Dang;m
3;Livia;w
3;Dennis;m
3;Lola;w
3;Elyas;m
3;Luca;w
3;Flynn;m
3;Lucia;w
3;Hans;m
3;Manuela;w
3;Hasan;m
3;Marleen;w
3;Heinrich;m
3;Matilda;w
3;Hoàng;m
3;Michelle;w
3;Jamie;m
3;My;w
3;Jannes;m
3;Natalie;w
3;Johan;m
3;Neele;w
3;Jonah;m
3;Ngoc;w
3;Jordan;m
3;Phuong;w
3;Khang;m
3;Rosa;w
3;Kilian;m
3;Ruth;w
3;Konrad;m
3;Tabea;w
3;Leander;m
3;Tara;w
3;Lias;m
3;Thea;w
3;Luan;m
3;Vera;w
3;Magnus;m
3;Yasmin;w
3;Malik;m
3;Marius;m
3;Mark;m
3;Mateo;m
3;Matheo;m
3;Mattis;m
3;Nicklas;m
3;Nico;m
3;Norbert;m
3;Piet;m
3;Raffael;m
3;Ramon;m
3;Raphael;m
3;Richard;m
3;Roman;m
3;Ryu;m
3;Sebastian;m
3;Taro;m
3;Till;m
3;Tùng;m
3;Walter;m
3;Yannick;m
3;Đức;m
2;;w
2;Ada;w
2;Aleksandra;w
2;Alissa;w
2;Aliya;w
2;Alma;w
2;Amalie;w
2;Amilia;w
2;Amina;w
2;Amélie;w
2;Angelie;w
2;Angelina;w
2;Anika;w
2;Annabella;w
2;Betty;w
2;Bonnie;w
2;Bảo;w
2;Catalina;w
2;Chau;w
2;Christine;w
2;Châu;w
2;Clementine;w
2;Edda;w
2;Abel;m
2;Edith;w
2;Adin;m
2;Ejona;w
2;Aidan;m
2;Elaine;w
2;Aleksandar;m
2;Elif;w
2;Alexandros;m
2;Elli;w
2;Alfred;m
2;Emely;w
2;Ali;m
2;Enie;w
2;An;m
2;Estelle;w
2;Arian;m
2;Eve;w
2;Aurelio;m
2;Ewa;w
2;Benno;m
2;Fanny;w
2;Bilal;m
2;Felicitas;w
2;Bruno;m
2;Felizitas;w
2;Carlos;m
2;Finja;w
2;Chris;m
2;Freya;w
2;Cody;m
2;Haylie;w
2;Cole;m
2;Helga;w
2;Conner;m
2;Henriette;w
2;Connor;m
2;Hertha;w
2;Conrad;m
2;Hoàng;w
2;Constantin;m
2;Ilsa;w
2;Damien;m
2;Inga;w
2;Damon;m
2;Ingrid;w
2;Danil;m
2;Irene;w
2;Danny;m
2;Jana;w
2;Darius;m
2;Jane;w
2;Detlef;m
2;Jolina;w
2;Devin;m
2;Joline;w
2;Dexter;m
2;Josefin;w
2;Domenik;m
2;Josephin;w
2;Don;m
2;Juditha;w
2;Dwayne;m
2;Julianna;w
2;Eddi;m
2;Karin;w
2;Edgar;m
2;Katrin;w
2;Elian;m
2;Katrina;w
2;Emilian;m
2;Khánh;w
2;Eric;m
2;Kimberly;w
2;Ernst;m
2;Laia;w
2;Erwin;m
2;Leilani;w
2;Fiete;m
2;Leonora;w
2;Finley;m
2;Leonore;w
2;Finnlay;m
2;Liesbeth;w
2;Fjonn;m
2;Lieselotte;w
2;Georg;m
2;Lilia;w
2;George;m
2;Lilian;w
2;Gerd;m
2;Ling;w
2;Günther;m
2;Liv;w
2;Hai;m
2;Lore;w
2;Hao;m
2;Loredana;w
2;Heinz;m
2;Lorena;w
2;Henning;m
2;Lotte;w
2;Hermann;m
2;Lynn;w
2;Horst;m
2;Madonna;w
2;Jack;m
2;Marina;w
2;Jaden;m
2;Medina;w
2;Jamal;m
2;Melanie;w
2;Janis;m
2;Meta;w
2;Janne;m
2;Mi;w
2;Jannek;m
2;Milana;w
2;Jean;m
2;Milou;w
2;Jeromé;m
2;Minna;w
2;Jesper;m
2;Mona;w
2;Jona;m
2;Mỹ;w
2;Jonny;m
2;Naomi;w
2;Juri;m
2;Nika;w
2;Jurij;m
2;Nike;w
2;Kasimir;m
2;Noura;w
2;Kerim;m
2;Nur;w
2;Khôi;m
2;Patricia;w
2;Kian;m
