anzahl;vorname;geschlecht
80;Marie;w
64;Sophie;w
60;Maria;w
46;Alexander;m
46;Charlotte;w
45;Anna;w
42;Maximilian;m
39;Elias;m
37;Sophia;w
34;Paul;m
34;Johanna;w
31;Ali;m
31;Leon;m
30;Luise;w
28;Anton;m
28;Jonas;m
28;Louis;m
27;David;m
26;Clara;w
25;Benjamin;m
25;Noah;m
24;Daniel;m
24;Oskar;m
23;Friedrich;m
22;Emilia;w
22;Johann;m
22;Jonathan;m
22;Karl;m
22;Theodor;m
21;Elisabeth;w
21;Mila;w
21;Jakob;m
21;Moritz;m
20;Leonie;w
20;Emil;m
20;Felix;m
19;Hanna;w
19;Julia;w
19;Lina;w
19;Amir;m
19;Julian;m
19;Leonard;m
19;Richard;m
18;Luca;m
17;Alma;w
17;Amelie;w
17;Helene;w
17;Katharina;w
17;Marlene;w
17;Mia;w
17;Leo;m
17;Max;m
16;Lara;w
16;Luisa;w
16;Mira;w
16;Carl;m
16;Frederik;m
16;Philipp;m
16;Robert;m
15;Emily;w
15;Emma;w
15;Martha;w
15;Mina;w
15;Victoria;w
15;Johannes;m
15;Lukas;m
15;Muhammed;m
15;Vincent;m
14;Mathilda;w
14;Maya;w
14;Ben;m
14;Julius;m
14;Levi;m
14;Linus;m
14;Samuel;m
14;Valentin;m
13;Hannah;w
13;Laura;w
13;Luna;w
13;Pauline;w
13;Sofia;w
13;Adam;m
13;Ahmad;m
13;Florian;m
13;Hamza;m
13;Michael;m
13;Tom;m
13;Yasin;m
12;Elisa;w
12;Helena;w
12;Louisa;w
12;Nur;w
12;Can;m
12;Emir;m
12;Georg;m
12;Henry;m
12;Jan;m
12;Konstantin;m
12;Lasse;m
12;Niklas;m
12;Peter;m
12;Tim;m
12;Wilhelm;m
11;Greta;w
11;Lotta;w
11;Rosa;w
11;Sarah;w
11;Arthur;m
11;Finn;m
11;Henri;m
11;Hussein;m
11;Joel;m
11;Milan;m
11;Yusuf;m
10;Ada;w
10;Alexandra;w
10;Amalia;w
10;Elena;w
10;Lea;w
10;Lena;w
10;Magdalena;w
10;Melina;w
10;Sara;w
10;Zeynep;w
10;Alex;m
10;Andreas;m
10;August;m
10;Berat;m
10;Hugo;m
10;Luis;m
10;Mohamed;m
10;Mustafa;m
10;Sebastian;m
10;Theo;m
9;Anastasia;w
9;Elif;w
9;Ella;w
9;Frieda;w
9;Isabella;w
9;Josephine;w
9;Lou;w
9;Lucia;w
9;Matilda;w
9;Adrian;m
9;Ahmet;m
9;Emilio;m
9;Hans;m
9;Jasper;m
9;Kaan;m
9;Leander;m
9;Liam;m
9;Mehmet;m
9;Mika;m
9;Omar;m
9;Ömer;m
8;Alina;w
8;Amira;w
8;Angelina;w
8;Elise;w
8;Elsa;w
8;Eva;w
8;Frida;w
8;Lilly;w
8;Maja;w
8;Mariam;w
8;Medina;w
8;Meryem;w
8;Nisa;w
8;Nora;w
8;Olivia;w
8;Viktoria;w
8;Ahmed;m
8;Azad;m
8;Benedikt;m
8;Bruno;m
8;Christian;m
8;Constantin;m
8;Deniz;m
8;Erik;m
8;Hannes;m
8;Joshua;m
8;Malik;m
8;Manuel;m
8;Matthias;m
8;Maxim;m
8;Muhammad;m
8;Nicolas;m
7;Amelia;w
7;Ava;w
7;Henriette;w
7;Josefine;w
7;Juno;w
7;Klara;w
7;Lia;w
7;Lisa;w
7;Mathilde;w
7;Michelle;w
7;Rosalie;w
7;Caspar;m
7;Efe;m
7;Fabian;m
7;Fritz;m
7;Gustav;m
7;Levin;m
7;Lucas;m
7;Magnus;m
7;Malte;m
7;Oscar;m
7;Otto;m
6;Alisa;w
6;Ana;w
6;Antonia;w
6;Aurora;w
6;Azra;w
6;Carla;w
6;Carlotta;w
6;Ela;w
6;Ellen;w
6;Emilie;w
6;Fatma;w
6;Hermine;w
6;Hira;w
6;Ida;w
6;Isabel;w
6;Jane;w
6;Liv;w
6;Maryam;w
6;Miray;w
6;Nina;w
6;Paula;w
6;Pia;w
6;Rose;w
6;Stella;w
6;Valeria;w
6;Zainab;w
6;Zoe;w
6;Aaron;m
6;Zoé;w
6;Albert;m
6;Anh;m
6;Antonio;m
6;Enes;m
6;Gabriel;m
6;George;m
6;Hasan;m
6;Jacob;m
6;Johan;m
6;John;m
6;Leopold;m
6;Luka;m
