anzahl;vorname;geschlecht
55;Ali;m
54;Sophie;w
48;Marie;w
37;Elias;m
33;Charlotte;w
33;Mia;w
29;Alexander;m
29;Elif;w
29;Maria;w
26;Leon;m
26;Noah;m
24;Maximilian;m
23;Emma;w
22;Paul;m
22;Emilia;w
22;Mira;w
21;Finn;m
20;Louis;m
20;Sophia;w
19;Elisabeth;w
18;Jakob;m
17;Jonas;m
17;Hannah;w
16;Karl;m
16;Luca;m
16;Ella;w
16;Johanna;w
15;David;m
15;Emil;m
15;Anna;w
15;Hamza;m
15;Elena;w
15;Muhammed;m
15;Melina;w
15;Nur;w
14;Adam;m
14;Ahmad;m
14;Clara;w
14;Ben;m
14;Emily;w
14;Benjamin;m
14;Lara;w
14;Daniel;m
14;Laura;w
14;Joel;m
14;Sara;w
14;Julian;m
14;Leo;m
13;Mila;w
13;Sofia;w
13;Emir;m
13;Ibrahim;m
13;Max;m
13;Tim;m
13;Yusuf;m
12;Lena;w
12;Lina;w
12;Luisa;w
12;Mina;w
12;Amir;m
12;Felix;m
12;Liam;m
12;Mohamad;m
12;Niklas;m
12;Vincent;m
11;Azra;w
11;Ela;w
11;Leni;w
11;Olivia;w
11;Zoe;w
11;Leonard;m
11;Miran;m
11;Samuel;m
11;Valentin;m
11;Yiğit;m
10;Elisa;w
10;Greta;w
10;Hanna;w
10;Jasmin;w
10;Leonie;w
10;Mathilda;w
10;Sarah;w
10;Adrian;m
10;Anton;m
10;Christian;m
10;Henry;m
10;Jonathan;m
10;Michael;m
10;Mohammad;m
10;Mustafa;m
10;Omar;m
9;Amy;w
9;Antonia;w
9;Helena;w
9;Isabella;w
9;Lea;w
9;Lilly;w
9;Lisa;w
9;Liya;w
9;Luise;w
9;Emilio;m
9;Nele;w
9;Fabian;m
9;Pauline;w
9;Hassan;m
9;Hussein;m
9;Jan;m
9;Johann;m
9;Lucas;m
9;Lukas;m
9;Maxim;m
9;Mohamed;m
9;Moritz;m
9;Oskar;m
9;Simon;m
9;Yasin;m
8;Amelie;w
8;Amina;w
8;Frieda;w
8;Maja;w
8;Matilda;w
8;Maya;w
8;Abdullah;m
8;Berat;m
8;Can;m
8;Christopher;m
8;Elyas;m
8;Emanuel;m
8;Frederik;m
8;Friedrich;m
8;Gabriel;m
8;Jayden;m
8;Matteo;m
8;Milan;m
8;Raphael;m
8;Tom;m
8;Youssef;m
7;Ida;w
7;Julie;w
7;Katharina;w
7;Lia;w
7;Marlene;w
7;Maryam;w
7;Medina;w
7;Miray;w
7;Paulina;w
7;Valentina;w
7;Victoria;w
7;Zeynep;w
7;Amin;m
7;Dean;m
7;Dennis;m
7;Ensar;m
7;Florian;m
7;Kaan;m
7;Karim;m
7;Linus;m
7;Luis;m
7;Mika;m
7;Milo;m
7;Nils;m
7;Rafael;m
7;Theodor;m
7;William;m
6;Elin;w
6;Finja;w
6;Isabell;w
6;Jana;w
6;Lou;w
6;Louisa;w
6;Mariam;w
6;Masal;w
6;Meryem;w
6;Miriam;w
6;Nisa;w
6;Rose;w
6;Sofie;w
6;Yasmin;w
6;Ahmed;m
6;Bennet;m
6;Bruno;m
6;Constantin;m
6;Dominik;m
6;Emre;m
6;Enes;m
6;Eren;m
6;Frank;m
6;Fritz;m
6;Fynn;m
6;Ilyas;m
6;Johannes;m
6;Junis;m
6;Lion;m
6;Marcel;m
6;Marvin;m
6;Mohammed;m
6;Muhammad;m
6;Oliver;m
6;Peter;m
6;Poyraz;m
6;Richard;m
6;Taha;m
6;Toni;m
6;Willi;m
5;Alexandra;w
5;Amilia;w
5;Anastasia;w
5;Anouk;w
5;Aurelia;w
5;Carlotta;w
5;Cecilia;w
5;Christina;w
5;Fabienne;w
5;Fatma;w
5;Flora;w
5;Havin;w
5;Josephine;w
5;Lotta;w
5;Malia;w
5;Melisa;w
5;Milena;w
5;Paula;w
5;Rosa;w
5;Thea;w
5;Vanessa;w
5;Viktoria;w
5;Yasmina;w
5;Zehra;w
5;Aras;m
5;Arthur;m
5;Damian;m
5;Efe;m
5;Emin;m
5;Hannes;m
5;Hasan;m
5;Ivan;m
5;Jad;m
5;Joshua;m
5;Khaled;m
5;Konstantin;m
5;Lasse;m
5;Leandro;m
5;Levin;m
5;Luke;m
5;Marlon;m
5;Mateo;m
5;Mats;m
5;Mert;m
5;Philipp;m
5;Piet;m
5;René;m
5;Robert;m
5;Sam;m
5;Sami;m
5;Sebastian;m
5;Thomas;m
5;Tristan;m
5;Uwe;m
5;Viktor;m
5;Ömer;m
4;Alina;w
4;Amira;w
4;Andreea;w
4;Asya;w
4;Aurora;w
4;Debora;w
4;Diana;w
4;Elina;w
4;Elli;w
4;Eslem;w
4;Estelle;w
4;Eva;w
4;Helene;w
4;Helin;w
4;Ilayda;w
4;Juna;w
4;Larissa;w
4;Linda;w
4;Livia;w
4;Lotte;w
4;Mai;w
4;Malak;w
4;Mara;w
4;Marleen;w
4;Noa;w
4;Nora;w
4;Rosalie;w
4;Su;w
4;Talia;w
4;Theresa;w
4;Tuana;w
4;Yaren;w
4;Alan;m
4;Albert;m
4;Andrei;m
4;Arda;m
4;Arvid;m
4;Bastian;m
4;Bela;m
4;Bilal;m
4;Burak;m
4;Emirhan;m
4;Eric;m
4;Erik;m
4;Ferdinand;m
4;Georg;m
4;Halil;m
4;Hans;m
4;Hüseyin;m
4;Jamie;m
4;Jannik;m
4;John;m
4;Jona;m
4;Julius;m
4;Kerim;m
4;Kevin;m
4;Leander;m
4;Leonardo;m
4;Leopold;m
4;Lias;m
4;Lio;m
4;Luka;m
4;Maria;m
4;Mark;m
4;Martin;m
4;Matti;m
4;Mehmet;m
4;Mikail;m
4;Musa;m
4;Nicklas;m
4;Niclas;m
4;Noel;m
4;Oscar;m
4;Patrick;m
4;Phil;m
4;Philip;m
4;Said;m
4;Timur;m
4;Tobias;m
4;Tony;m
4;Yakup;m
4;Yassin;m
3;Ada;w
3;Adele;w
3;Aisha;w
3;Alice;w
3;Alicja;w
3;Aliya;w
3;Alma;w
3;Amani;w
3;Anais;w
3;Anh;w
3;Anja;w
3;Annabelle;w
3;Asmin;w
3;Aylin;w
3;Berfin;w
3;Betty;w
3;Buğlem;w
3;Carla;w
3;Cataleya;w
3;Damla;w
3;Daria;w
3;Defne;w
3;Ecrin;w
3;Eda;w
3;Elaina;w
3;Elanur;w
3;Elise;w
3;Elizabeth;w
3;Emelie;w
3;Emely;w
3;Emine;w
3;Esma;w
3;Fatima;w
3;Frida;w
3;Grace;w
3;Hanin;w
3;Havva;w
3;Hira;w
3;Huda;w
3;İrem;w
3;Janina;w
3;Jelena;w
3;Jolien;w
3;Joline;w
3;Katrin;w
3;Kim;w
3;Kimberly;w
3;Klara;w
3;Leen;w
3;Lenia;w
3;Leonora;w
3;Leyla;w
3;Lily;w
3;Louise;w
3;Lucia;w
3;Lynn;w
3;Maila;w
3;Manessa;w
3;Marija;w
3;Marina;w
3;Marla;w
3;Martha;w
3;Alessio;m
3;Melissa;w
3;Alvar;m
3;Merve;w
3;Andreas;m
3;Mona;w
3;Andrew;m
3;Monika;w
3;Angelo;m
3;Naomi;w
3;Bernd;m
3;Narin;w
3;Caspar;m
3;Natalia;w
3;Cemil;m
3;Nehir;w
3;Clemens;m
3;Nina;w
3;Colin;m
3;Nour;w
3;Dejan;m
3;Pia;w
3;Denis;m
3;Romy;w
3;Deniz;m
3;Ruth;w
3;Eymen;m
3;Sahra;w
3;Filip;m
3;Samantha;w
3;Hadi;m
3;Selma;w
3;Hagen;m
3;Sena;w
3;Harun;m
3;Sibel;w
3;Heinrich;m
3;Stella;w
3;Herbert;m
3;Tilda;w
3;Jakub;m
3;Valerie;w
3;Jason;m
3;Veronika;w
3;Johnny;m
3;Yuna;w
3;Jordan;m
3;Zahraa;w
3;Juri;m
3;Zainab;w
3;Karsten;m
3;Zoey;w
3;Kenan;m
3;Zoé;w
3;Kerem;m
3;Kilian;m
3;Kurt;m
3;Kuzey;m
3;Lennard;m
3;Lennox;m
3;Levi;m
3;Lian;m
3;Lionel;m
3;Logan;m
3;Luiz;m
3;Mahmoud;m
3;Malik;m
3;Mario;m
3;Matthias;m
3;Merdan;m
3;Merlin;m
3;Mike;m
3;Mio;m
3;Muhamed;m
3;Murat;m
3;Nikolas;m
3;Noam;m
3;Osman;m
3;Otto;m
3;Pascal;m
3;Pepe;m
3;Quinn;m
3;Robin;m
3;Roger;m
3;Roman;m
3;Selim;m
3;Thore;m
3;Timo;m
3;Tyler;m
3;Vasilije;m
3;Victor;m
3;Yannik;m
3;Younes;m
3;Yunus;m
3;Çinar;m
2;Adamma;w
2;Ahsen;w
2;Aischa;w
2;Albana;w
2;Alena;w
2;Alessia;w
2;Aleyna;w
2;Alicia;w
2;Aliyah;w
2;Amalia;w
2;Amelia;w
2;Amélie;w
2;Annika;w
2;Aria;w
2;Arin;w
2;Ava;w
2;Aysu;w
2;Badia;w
2;Batul;w
2;Beatrice;w
2;Beren;w
2;Bettina;w
2;Beyza;w
2;Cansu;w
2;Celeste;w
2;Ceren;w
2;Ceyda;w
2;Ceylin;w
2;Chi;w
2;Christiane;w
2;Cristina;w
2;Dalia;w
2;Delal;w
2;Derya;w
2;Dilara;w
2;Dorothea;w
2;Ece;w
2;Eftelya;w
2;Elea;w
2;Eleni;w
2;Elida;w
2;Aaron;m
2;Elissa;w
2;Abbas;m
2;Elsa;w
2;Adil;m
2;Emilie;w
2;Aleksandar;m
2;Emmi;w
2;Alen;m
2;Emmy;w
2;Alessandro;m
2;Erva;w
2;Alex;m
2;Esila;w
2;Almir;m
2;Esmanur;w
2;Ammar;m
2;Eve;w
2;Anas;m
2;Eveline;w
2;Anh;m
2;Evin;w
2;Antoine;m
2;Eylül;w
2;Antoni;m
2;Ezgi;w
2;Arian;m
2;Felizitas;w
2;Arijan;m
2;Filipova;w
2;Armando;m
2;Finnja;w
2;Ashraf;m
2;Fiona;w
2;August;m
2;Florentine;w
2;Aurelio;m
2;Friederike;w
2;Ayaz;m
2;Gabriela;w
2;Bao;m
2;Gül;w
2;Batu;m
2;Hanni;w
2;Benedikt;m
2;Hatice;w
2;Cahit;m
2;Heidi;w
2;Carl;m
2;Helen;w
2;Charles;m
2;Helga;w
2;Charly;m
2;Hilal;w
2;Christoph;m
2;Hope;w
2;Cihan;m
2;Hélène;w
2;Damon;m
2;Iman;w
2;Danil;m
2;Irma;w
2;Danilo;m
2;Isabel;w
2;Dario;m
2;Ivanova;w
2;Darko;m
2;Jamila;w
2;Detlef;m
2;Jane;w
2;Devin;m
2;Janine;w
2;Devrim;m
2;Jara;w
2;Diego;m
2;Jenny;w
2;Diyar;m
2;Jolie;w
2;Dylan;m
2;Jolina;w
2;Edem;m
2;Jonna;w
2;Eduard;m
2;Joyce;w
2;Edward;m
2;Julia;w
2;Ege;m
2;Juliana;w
2;Elian;m
2;Karla;w
2;Emilian;m
2;Karlotta;w
2;Erdem;m
2;Kassandra;w
2;Eyad;m
2;Kathleen;w
2;Fiete;m
2;Kevser;w
2;Fridolin;m
2;Laila;w
2;Glenn;m
2;Lamar;w
2;Güney;m
2;Lavinia;w
2;Han;m
2;Layal;w
2;Hanno;m
2;Layan;w
2;Henning;m
2;Layla;w
2;İbrahim;m
2;Lea-Sophie;w
2;Imran;m
2;Leena;w
2;Ismail;m
2;Lene;w
2;Issam;m
2;Lien;w
2;Iven;m
2;Lijana;w
2;Jacob;m
2;Liliana;w
2;Jamal;m
2;Lilli;w
2;Jannes;m
2;Linnea;w
2;Jannis;m
2;Liyana;w
2;Jasper;m
2;Liz;w
2;Jeffrey;m
2;Lola;w
2;Jeremy;m
2;Lu;w
2;Jerome;m
2;Lucy;w
2;Jesper;m
2;Madita;w
2;Johan;m
2;Magda;w
2;Joris;m
2;Magdalena;w
2;Josef;m
2;Maggie;w
2;Jules;m
2;Malina;w
2;Julien;m
2;Malou;w
2;Justus;m
2;Marlen;w
2;Jürgen;m
2;Marta;w
2;Kacper;m
2;Martina;w
2;Kai;m
2;Maryana;w
2;Khadir;m
2;Mayla;w
2;Kian;m
2;Megan;w
2;Konstantinos;m
2;Melanie;w
2;Lazar;m
2;Melia;w
2;Ledion;m
2;Meliha;w
2;Lennart;m
2;Meriam;w
2;Lenny;m
2;Merle;w
2;Leonas;m
2;Meta;w
2;Leonidas;m
2;Michaela;w
2;Levent;m
2;Michelle;w
2;Liron;m
2;Milkova;w
2;Liyan;m
2;Milla;w
2;Lorenz;m
2;Minel;w
2;Louie;m
2;Minze;w
2;Luan;m
2;Naima;w
2;Lui;m
2;Naina;w
2;Lutz;m
2;Nelly;w
2;Mads;m
2;Nike;w
2;Mahdi;m
2;Nikolaeva;w
2;Malte;m
2;Nikolina;w
2;Manuel;m
2;Nives;w
2;Marcus;m
2;Palina;w
2;Marek;m
2;Pina;w
2;Marius;m
2;Polly;w
2;Marko;m
2;Raisa;w
2;Matei;m
2;Rana;w
2;Matheo;m
2;Rebeca;w
2;Mattis;m
2;Rebecca;w
2;Maximo;m
2;Rita;w
2;Milian;m
2;Rojin;w
2;Mirac;m
2;Rosemarie;w
2;Miraç;m
2;Saliha;w
2;Miron;m
2;Selin;w
2;Mirza;m
2;Shabanova;w
2;Moussa;m
2;Stefanie;w
2;Munir;m
2;Susanne;w
2;Nedim;m
2;Tabea;w
2;Neo;m
2;Tala;w
2;Nico;m
2;Tamara;w
2;Nicolas;m
2;Valeria;w
2;Niko;m
2;Vera;w
2;Nino;m
2;Yağmur;w
2;Nuka;m
2;Zahide;w
2;Nuri;m
2;Zahra;w
2;Ozan;m
2;Zelal;w
2;oğlu;m
2;Zora;w
2;Peer;m
2;Şura;w
2;Pit;m
2;Ragnar;m
2;Raul;m
2;Rayyan;m
2;Rocco;m
2;Romeo;m
2;Ron;m
2;Ryan;m
2;Ryszard;m
2;Sadek;m
2;Samir;m
2;Seymur;m
2;Silas;m
2;Stefan;m
2;Sven;m
2;Tahsin;m
2;Talha;m
2;Tayfun;m
2;Taylor;m
2;Theo;m
2;Thorin;m
2;Tiago;m
2;Til;m
2;Till;m
2;Umut;m
2;Valentino;m
2;Vincenzo;m
2;Vito;m
2;Vitus;m
2;Werner;m
2;Wilhelm;m
2;Wolf;m
2;Yaman;m
2;Yanis;m
2;Yas;m
2;Yavuz;m
2;Yuma;m
2;Zeyd;m
2;Çınar;m
1;Aaliyah;w
1;Abby;w
1;Abieyuwa;w
1;Abigail;w
1;Abigaila;w
1;Acelya;w
1;Adea;w
1;Adelle;w
1;Adetoni;w
1;Adreia;w
1;Adriana;w
1;Afzem;w
1;Agnes;w
1;Aiman;w
1;Aische;w
1;Aize;w
1;Aişe;w
1;Ajla;w
1;Akbari;w
1;Akinyi;w
1;Akorede;w
1;Al;w
1;Alana;w
1;Alanur;w
1;Alara;w
1;Alea;w
1;Aleeza;w
1;Aleja;w
1;Aleksandra;w
1;Aleksandrova;w
1;Aleksandrovna;w
1;Aleksieva;w
1;Alessa;w
1;Alessandra;w
1;Alexis;w
1;Alexis-Juliet;w
1;Alexsandra;w
1;Alhuda;w
1;Alin;w
1;;m
1;Alisa;w
1;Aaron-Jerome;m
1;Alisha;w
1;Abdallah;m
1;Alisija-Selina;w
1;Abdarrahman;m
1;Alissa;w
