anzahl;vorname;geschlecht
128;Marie;w
103;Sophie;w
74;Alexander;m
69;Charlotte;w
67;Paul;m
59;Emma;w
56;Emilia;w
53;Emil;m
50;Anna;w
49;Maria;w
49;Sophia;w
47;Johanna;w
46;Luise;w
45;Elias;m
45;Maximilian;m
44;Theodor;m
43;Anton;m
41;Mia;w
39;Oskar;m
38;Karl;m
38;Ella;w
35;Felix;m
35;Lena;w
34;Jonas;m
33;Noah;m
32;Ben;m
32;Greta;w
31;Friedrich;m
31;Elisabeth;w
31;Hannah;w
29;Jakob;m
29;Jonathan;m
28;Louis;m
28;Luca;m
28;Theo;m
27;Amelie;w
27;Finn;m
27;Leon;m
27;Levi;m
27;Lukas;m
26;Elisa;w
26;Emily;w
26;Lina;w
26;Marlene;w
26;Pauline;w
25;Helena;w
25;Moritz;m
25;Mila;w
25;Tim;m
25;Valentin;m
25;Vincent;m
24;Lea;w
24;Leonie;w
24;Leo;m
24;Leonard;m
23;Luisa;w
23;Max;m
22;Frieda;w
22;Laura;w
22;Johann;m
21;Ida;w
21;Benjamin;m
21;Mika;m
21;Philipp;m
20;Julian;m
20;Liam;m
19;Lara;w
19;Pia;w
19;Bruno;m
19;David;m
19;Peter;m
19;Richard;m
18;Clara;w
18;Elise;w
18;Mathilda;w
18;Erik;m
18;Johannes;m
18;Samuel;m
17;Hanna;w
17;Klara;w
17;Valentina;w
17;Arthur;m
17;Fritz;m
17;Tom;m
16;Lucia;w
16;Luna;w
16;Paula;w
16;Rosa;w
16;Daniel;m
16;Henry;m
16;Matteo;m
16;Niklas;m
15;Antonia;w
15;Helene;w
15;Josephine;w
15;Katharina;w
15;Lilly;w
15;Rosalie;w
15;Florian;m
15;Gustav;m
15;Lennard;m
15;Leopold;m
15;Luis;m
15;Milan;m
14;Carlotta;w
14;Eva;w
14;Lotta;w
14;Louise;w
14;Mira;w
14;Fabian;m
14;Julius;m
14;Ole;m
14;Pepe;m
13;Alma;w
13;Elena;w
13;Frida;w
13;Leni;w
13;Melina;w
13;Nora;w
13;Adam;m
13;Gabriel;m
13;Linus;m
13;Maxim;m
13;Michael;m
13;Otto;m
12;Isabella;w
12;Maja;w
12;Matilda;w
12;Andreas;m
12;Carl;m
12;John;m
12;Konstantin;m
12;Luke;m
11;Ava;w
11;Elsa;w
11;Finja;w
11;Julia;w
11;Livia;w
11;Lucy;w
11;Margarete;w
11;Nele;w
11;Sarah;w
11;Adrian;m
11;Theresa;w
11;Christian;m
11;Tilda;w
11;Ferdinand;m
11;Georg;m
11;Hans;m
11;Henri;m
11;Hugo;m
11;Jan;m
11;Joshua;m
11;Justus;m
11;Marlon;m
11;Sebastian;m
11;Simon;m
10;Alexandra;w
10;Carla;w
10;Henriette;w
10;Isabel;w
10;Juna;w
10;Lia;w
10;Lisa;w
10;Magdalena;w
10;Mathilde;w
10;Merle;w
10;Olivia;w
10;Constantin;m
10;Ronja;w
10;Franz;m
10;Thea;w
10;Lucas;m
10;Victoria;w
10;Mattis;m
10;Nils;m
10;Thomas;m
10;Till;m
9;Alina;w
9;Fabienne;w
9;Josefine;w
9;Linda;w
9;Edgar;m
9;Lou;w
9;Juri;m
9;Louisa;w
9;Lasse;m
9;Martha;w
9;Martin;m
9;Mina;w
9;Oliver;m
9;Nina;w
9;Tobias;m
9;Stella;w
9;Toni;m
8;Amalia;w
8;Caspar;m
8;Aurora;w
8;Damian;m
8;Elli;w
8;Finley;m
8;Malou;w
8;Fynn;m
8;Paulina;w
8;Hannes;m
8;Romy;w
8;Jasper;m
8;Sofia;w
8;Kilian;m
8;Sofie;w
8;Lenny;m
8;Viktoria;w
8;Oscar;m
8;Raphael;m
8;Robert;m
7;Annika;w
7;Aurelia;w
7;Elina;w
7;Aaron;m
7;Ellen;w
7;Albert;m
7;Grace;w
7;Alfred;m
7;Isabell;w
7;August;m
7;Jasmin;w
7;Bennet;m
7;Julie;w
7;Dean;m
7;Karla;w
7;Enno;m
7;Lotte;w
7;Jack;m
7;Marianne;w
7;Jacob;m
7;Marleen;w
7;James;m
7;Marta;w
7;Jannis;m
7;Maya;w
7;Lennox;m
7;Ruby;w
7;Magnus;m
7;Zoe;w
7;Marvin;m
7;Zoé;w
7;Matheo;m
7;Mats;m
7;Nico;m
7;Silas;m
6;Christina;w
6;Diana;w
6;Elea;w
6;Flora;w
6;Benedikt;m
6;Helga;w
6;Carlos;m
6;Joleen;w
6;Emilian;m
6;Leah;w
6;Fiete;m
6;Lilli;w
6;Frank;m
6;Lucie;w
6;Frederik;m
6;Mika;w
6;Henrik;m
6;Milena;w
6;Johan;m
6;Joris;m
6;Malte;m
6;Manuel;m
6;Matti;m
6;Milo;m
6;Mio;m
6;Nicolas;m
6;Patrick;m
6;Quentin;m
6;Timo;m
5;Alice;w
5;Amélie;w
5;Annabelle;w
5;Anouk;w
5;Bella;w
5;Carolin;w
5;Eliza;w
5;Florentine;w
5;Franziska;w
5;Hedi;w
5;Hermine;w
5;Arne;m
5;Karlotta;w
5;Charlie;m
5;Kate;w
5;Connor;m
5;Leonore;w
5;Emilio;m
5;Leyla;w
5;Erwin;m
5;Lili;w
5;Heinrich;m
5;Linnea;w
5;Jannes;m
5;Mara;w
5;Janosch;m
5;Mariella;w
5;Jaro;m
5;Mascha;w
5;Kasimir;m
5;Sara;w
5;Leonardo;m
5;Tabea;w
5;Leonhard;m
5;Vanessa;w
5;Levin;m
5;Wanda;w
5;Lio;m
5;Wilhelmine;w
5;Maik;m
5;Maria;m
5;Mattheo;m
5;Mike;m
5;Nathan;m
5;Noel;m
5;Philip;m
5;Piet;m
5;René;m
5;Rocco;m
5;Sam;m
5;Stefan;m
5;Viktor;m
5;Walter;m
5;Wilhelm;m
4;Ada;w
4;Alexis;w
4;Alva;w
4;Amina;w
4;Anika;w
4;Ann;w
4;Annabell;w
4;Anne;w
4;Anni;w
4;Carolina;w
4;Caroline;w
4;Cataleya;w
4;Christel;w
4;Emelie;w
4;Emely;w
4;Amadeus;m
4;Emilie;w
4;Amandus;m
4;Friederike;w
4;André;m
4;Fritzi;w
4;Aron;m
4;Gerda;w
4;Bo;m
4;Hildegard;w
4;Brian;m
4;Iris;w
4;Béla;m
4;Irma;w
4;Carlo;m
4;Juliane;w
4;Casper;m
4;June;w
4;Charly;m
4;Karoline;w
4;Damon;m
4;Kira;w
4;Dominik;m
4;Käthe;w
4;Elia;m
4;Lene;w
4;Elyas;m
4;Leona;w
4;Ilja;m
4;Liah;w
4;Jamie;m
4;Lilith;w
4;Janne;m
4;Lisbeth;w
4;Jascha;m
4;Liv;w
4;Jason;m
4;Lola;w
4;Jayden;m
4;Madeleine;w
4;Joel;m
4;Marla;w
4;Klaus;m
4;Mary;w
4;Kurt;m
4;Melissa;w
4;Lars;m
4;Milla;w
4;Leander;m
4;Mona;w
4;Leonas;m
4;Neele;w
4;Lev;m
4;Philine;w
4;Lino;m
4;Rose;w
4;Lionel;m
4;Ruth;w
4;Lorenz;m
4;Samantha;w
4;Lovis;m
4;Selma;w
4;Marco;m
4;Tara;w
4;Marten;m
4;Yuna;w
4;Matthes;m
4;Matthias;m
4;Nick;m
4;Niclas;m
4;Pascal;m
4;Phil;m
4;Pierre;m
4;Rainer;m
4;Reinhard;m
4;Robin;m
4;Roman;m
4;Ruben;m
4;Rudolf;m
4;Ryan;m
4;Tristan;m
4;Ulrich;m
4;Victor;m
4;Willi;m
3;Alicia;w
3;Amelia;w
3;Amira;w
3;Amy;w
3;Ana;w
3;Angelina;w
3;Anita;w
3;Annelie;w
3;Ashley;w
3;Augusta;w
3;Celine;w
3;Claudia;w
3;Coco;w
3;Cornelia;w
3;Dorothea;w
3;Elaina;w
3;Eleni;w
3;Elin;w
3;Aiden;m
3;Emilya;w
3;Alex;m
3;Emmi;w
3;Ali;m
3;Felicia;w
3;Alwin;m
3;Fernanda;w
3;Amir;m
3;Fiona;w
3;Anselm;m
3;Franka;w
3;Ansgar;m
3;Hanni;w
3;Antonio;m
3;Hedda;w
3;Arian;m
3;Hedwig;w
3;Armand;m
3;Isabelle;w
3;Arnim;m
3;Ivy;w
3;Artur;m
3;Jane;w
3;Arvid;m
3;Jessica;w
3;Bastian;m
3;Jette;w
3;Bela;m
3;Joy;w
3;Bennett;m
3;Juno;w
3;Bernhard;m
3;Jutta;w
3;Björn;m
3;Lana;w
3;Christopher;m
3;Leandra;w
3;Collin;m
3;Leony;w
3;Conner;m
3;Lieselotte;w
3;Davis;m
