anzahl;vorname;geschlecht
24;Marie;w
15;Luca;m
14;Leon;m
13;Sophie;w
12;Alexander;m
12;Maria;w
12;Maximilian;m
11;Charlotte;w
11;Elias;m
11;Emilia;w
10;Ali;m
9;Lina;w
9;Noah;m
8;Anna;w
8;David;m
8;Julian;m
8;Simon;m
7;Lea;w
7;Lena;w
7;Mia;w
7;Emil;m
7;Mira;w
7;Leo;m
6;Elisabeth;w
6;Aaron;m
6;Emily;w
6;Adrian;m
6;Hannah;w
6;Daniel;m
6;Nur;w
6;Milan;m
6;Sophia;w
6;Muhammed;m
6;Paul;m
6;Tim;m
5;Alina;w
5;Amelie;w
5;Elif;w
5;Adam;m
5;Elisa;w
5;Benjamin;m
5;Josephine;w
5;Damian;m
5;Lara;w
5;Finn;m
5;Luise;w
5;Louis;m
5;Zoe;w
5;Marco;m
5;Samuel;m
5;Tom;m
4;Amalia;w
4;Amy;w
4;Ella;w
4;Can;m
4;Emma;w
4;Dominik;m
4;Henriette;w
4;Florian;m
4;Hira;w
4;Gabriel;m
4;Isabella;w
4;Henry;m
4;Jolie;w
4;Joel;m
4;Julia;w
4;Jona;m
4;Katharina;w
4;Jonathan;m
4;Lucy;w
4;Liam;m
4;Martina;w
4;Martin;m
4;Mila;w
4;Michael;m
4;Naz;w
4;Mika;m
4;Nisa;w
4;Mohammed;m
4;Nora;w
4;Mustafa;m
4;Pauline;w
4;Nathan;m
4;Sofia;w
4;Nicolas;m
4;Ole;m
4;Oskar;m
4;Philipp;m
4;Pierre;m
4;Tiago;m
4;Yusuf;m
3;Amelia;w
3;Azra;w
3;Barbara;w
3;Bella;w
3;Ela;w
3;Emelie;w
3;Helin;w
3;Adem;m
3;Jennifer;w
3;Andreas;m
3;Jette;w
3;Ben;m
3;Johanna;w
3;Christian;m
3;Klara;w
3;Efe;m
3;Laura;w
3;Elyas;m
3;Leonie;w
3;Emre;m
3;Lisa;w
3;Fabian;m
3;Livia;w
3;Felix;m
3;Louisa;w
3;Frederik;m
3;Luana;w
3;Hans;m
3;Luna;w
3;Henri;m
3;Magdalena;w
3;Jan;m
3;Marina;w
3;Karim;m
3;Maya;w
3;Karl;m
3;Melek;w
3;Konstantin;m
3;Mina;w
3;Leonard;m
3;Samira;w
3;Linus;m
3;Tuana;w
3;Lukas;m
3;Valentina;w
3;Manuel;m
3;Valerie;w
3;Marlon;m
3;Vanessa;w
3;Mehmet;m
3;Zeynep;w
3;Muhammad;m
3;Niklas;m
3;Peter;m
3;Phil;m
3;Phillip;m
3;Rafael;m
3;Sebastian;m
3;Theodor;m
3;Viktor;m
3;William;m
2;Alexandra;w
2;Aleyna;w
2;Alia;w
2;Alice;w
2;Alin;w
2;Amira;w
2;Amélie;w
2;Anastasia;w
2;Anaïs;w
2;Angela;w
2;Ahmed;m
2;Anni;w
2;Alexandre;m
2;Annika;w
2;Aras;m
2;Arin;w
2;Arian;m
2;Aslı;w
2;Ayaz;m
2;Asmin;w
2;Baran;m
2;Aurora;w
2;Bastian;m
2;Beren;w
2;Bilal;m
2;Caroline;w
2;Constantin;m
2;Catalina;w
2;Damien;m
2;Ceylin;w
2;Damir;m
2;Christine;w
2;Dario;m
2;Clara;w
2;Denis;m
2;Dagmar;w
2;Elian;m
2;Dorothea;w
2;Emilio;m
2;Ece;w
2;Emin;m
2;Eda;w
2;Emir;m
2;Elena;w
2;Emirhan;m
2;Elin;w
2;Enes;m
2;Elke;w
2;Erik;m
2;Elli;w
