anzahl;vorname;geschlecht
74;Marie;w
60;Sophie;w
39;Alexander;m
37;Elias;m
36;Maximilian;m
36;Maria;w
34;Emil;m
34;Mia;w
29;Noah;m
28;Emilia;w
28;Liam;m
28;Luca;m
27;Charlotte;w
27;Emma;w
27;Johanna;w
26;Jonas;m
25;Theodor;m
25;Ella;w
25;Sophia;w
24;Felix;m
23;Jakob;m
23;Paul;m
22;Luise;w
21;Elisabeth;w
21;Ben;m
21;Finn;m
20;Lena;w
20;Leon;m
20;Max;m
19;Johann;m
19;Louis;m
18;Hannah;w
18;Leonard;m
17;Clara;w
17;Elisa;w
17;Luisa;w
17;Benjamin;m
17;Konstantin;m
16;Helena;w
16;Maja;w
16;Michael;m
15;Amelie;w
15;Frieda;w
15;Greta;w
15;Vincent;m
15;Leonie;w
14;Anton;m
14;Anna;w
14;Friedrich;m
14;Emily;w
14;Lukas;m
14;Lea;w
14;Moritz;m
14;Marlene;w
14;Samuel;m
14;Mila;w
13;Joel;m
13;Alma;w
13;Jonathan;m
13;Ava;w
13;Leo;m
13;Elise;w
13;Oskar;m
13;Victoria;w
13;Richard;m
12;Klara;w
12;Adam;m
12;Laura;w
12;Ali;m
12;Maya;w
12;Mats;m
12;Melina;w
12;Milan;m
12;Noel;m
12;Tim;m
11;Elena;w
11;Josephine;w
11;Lara;w
11;Daniel;m
11;Leni;w
11;Levi;m
11;Magdalena;w
11;Simon;m
11;Valentin;m
10;Amelia;w
10;Julia;w
10;Erik;m
10;Lina;w
10;Fabian;m
10;Lisa;w
10;Gabriel;m
10;Merle;w
10;Jan;m
10;Paula;w
10;Jason;m
10;Rosa;w
10;Julian;m
10;Julius;m
10;Karl;m
9;Aurora;w
9;Frida;w
9;Helene;w
9;Albert;m
9;Ida;w
9;Arthur;m
9;Isabella;w
9;Florian;m
9;kein;w
9;Henry;m
9;Mathilda;w
9;Johannes;m
9;noch;w
9;Mattis;m
9;Pia;w
9;Peter;m
9;Vorname;w
9;Sebastian;m
9;Zoe;w
8;Aaron;m
8;Anastasia;w
8;Adrian;m
8;Hanna;w
8;Fynn;m
8;Jasmin;w
8;Gustav;m
8;Lia;w
8;Henri;m
8;Lilly;w
8;Jannis;m
8;Mira;w
8;Jayden;m
8;Olivia;w
8;Leander;m
8;Stella;w
8;Linus;m
8;Valentina;w
8;Luis;m
8;Luke;m
8;Matteo;m
8;Niklas;m
8;Oliver;m
8;Raphael;m
7;Alina;w
7;Ela;w
7;Josefine;w
7;Katharina;w
7;Louise;w
7;Lucia;w
7;Bruno;m
7;Malia;w
7;Christian;m
7;Malina;w
7;Constantin;m
7;Michelle;w
7;David;m
7;Mina;w
7;Emir;m
7;Miriam;w
7;Fiete;m
7;Romy;w
7;Frederik;m
7;Rosalie;w
7;John;m
7;Sarah;w
7;Jonah;m
7;Viktoria;w
7;Jonte;m
7;Justus;m
7;Leopold;m
7;Lucas;m
7;Ludwig;m
7;Marlon;m
7;Mateo;m
7;Maurice;m
7;Nico;m
7;Theo;m
7;Wolfgang;m
6;Anouk;w
6;Antonia;w
6;Elif;w
6;Karla;w
6;Lotta;w
6;Lucie;w
6;Martha;w
6;Melody;w
6;Nicole;w
6;Sofia;w
6;Thea;w
6;Andreas;m
6;Carl;m
6;Eliah;m
6;Emilio;m
6;Henrik;m
6;Hugo;m
6;Kilian;m
6;Lennard;m
6;Levin;m
6;Matti;m
6;Maxim;m
6;Muhammed;m
6;Patrick;m
6;Philipp;m
6;Robert;m
6;Ruben;m
6;Sam;m
6;Tyler;m
5;Carlotta;w
5;Christin;w
5;Coco;w
5;Elsa;w
5;Eva;w
5;Freya;w
5;Jana;w
5;Julie;w
5;Lene;w
5;Lilli;w
5;Liv;w
5;Lucy;w
5;Luna;w
5;Madita;w
5;Malou;w
5;Matilda;w
5;Meryem;w
5;Philine;w
5;Benno;m
5;Sofie;w
5;Franz;m
5;Yuna;w
5;Fritz;m
5;Zeynep;w
5;Hannes;m
5;Ilias;m
5;Jacob;m
5;Jeremy;m
5;Julien;m
5;Kian;m
5;Konrad;m
5;Lasse;m
5;Leandro;m
5;Leonardo;m
5;Luka;m
5;Malte;m
5;Manuel;m
5;Marvin;m
5;Mike;m
5;Mohammad;m
5;Nick;m
5;Nikita;m
5;Ole;m
5;Otto;m
5;Pepe;m
5;Piet;m
5;Robin;m
5;Roman;m
5;Till;m
5;Tom;m
5;Willi;m
5;Yasin;m
4;Alice;w
4;Alisa;w
4;Amira;w
4;Annabell;w
4;Annabelle;w
4;Aurelia;w
4;Chiara;w
4;Elaine;w
4;Elina;w
4;Emilie;w
4;Erika;w
4;Fabienne;w
4;Fiona;w
4;Franziska;w
4;Helen;w
4;Hira;w
4;Isabel;w
4;Isabell;w
4;Jonna;w
4;Juna;w
4;Karlotta;w
4;Leona;w
4;Livia;w
4;Lou;w
4;Louisa;w
4;Mara;w
4;Margarete;w
4;Marla;w
4;Alan;m
4;Nina;w
4;Alfred;m
4;Nisa;w
4;Antoni;m
4;Patricia;w
4;Arne;m
4;Pola;w
4;August;m
4;Ronja;w
4;Benedikt;m
4;Sara;w
4;Bennet;m
4;Seraphina;w
4;Bjarne;m
4;Solveig;w
4;Béla;m
4;Teresa;w
4;Carlo;m
4;Theresa;w
4;Caspar;m
4;Valeria;w
4;Christopher;m
4;Veronika;w
4;Dennis;m
4;Edgar;m
4;Emilian;m
4;Erich;m
4;Filip;m
4;Hussein;m
4;Immanuel;m
4;Jona;m
4;Josef;m
4;Joseph;m
4;Juri;m
4;Karim;m
4;kein;m
4;Lennart;m
4;Lias;m
4;Magnus;m
4;Marek;m
4;Markus;m
4;Martin;m
4;Michel;m
4;Mika;m
4;Milo;m
4;Mio;m
4;Mohammed;m
4;Nicolas;m
4;Nils;m
4;Nino;m
4;Noam;m
