anzahl;vorname;geschlecht
27;Marie;w
19;Charlotte;w
18;Alexander;m
15;Paul;m
14;Sophie;w
12;Anna;w
12;Maria;w
10;Leon;m
10;Elisabeth;w
9;Anton;m
9;Maximilian;m
9;Noah;m
9;Emilia;w
9;Hanna;w
9;Mila;w
8;Jonas;m
8;Leonard;m
8;Luise;w
8;Maya;w
7;Benjamin;m
7;Elias;m
7;Leo;m
7;Louis;m
7;Helene;w
7;Theodor;m
7;Isabella;w
7;Lena;w
7;Lilly;w
7;Mia;w
6;David;m
6;Emil;m
6;Finn;m
6;Friedrich;m
6;Alexandra;w
6;Henry;m
6;Leonie;w
6;Karl;m
6;Marlene;w
6;Leopold;m
6;Levi;m
6;Lukas;m
6;Michael;m
6;Moritz;m
5;Amelie;w
5;Antonia;w
5;Clara;w
5;Ella;w
5;Emily;w
5;Aaron;m
5;Emma;w
5;Christian;m
5;Laura;w
5;Ferdinand;m
5;Sophia;w
5;Henri;m
5;Jakob;m
5;Jan;m
5;Jonathan;m
5;Joshua;m
5;Oskar;m
5;Valentin;m
4;Alice;w
4;Amelia;w
4;Elisa;w
4;Eva;w
4;Greta;w
4;Helena;w
4;Johanna;w
4;Ahmed;m
4;Lea;w
4;Arthur;m
4;Lina;w
4;Benedikt;m
4;Paula;w
4;Bruno;m
4;Felix;m
4;Liam;m
4;Luca;m
4;Max;m
4;Maxim;m
4;Milan;m
4;Samuel;m
4;Theo;m
4;Tom;m
3;Alina;w
3;Annika;w
3;Elena;w
3;Fabienne;w
3;Frieda;w
3;Helen;w
3;Isabel;w
3;Josephine;w
3;Julia;w
3;Klara;w
3;Adrian;m
3;Leni;w
3;Albert;m
3;Lilli;w
3;Daniel;m
3;Lisa;w
3;Erik;m
3;Maja;w
3;Fabian;m
3;Malou;w
3;Fritz;m
3;Mara;w
3;Georg;m
3;Margarete;w
3;Henrik;m
3;Marla;w
3;Jannik;m
3;Melina;w
3;Joel;m
3;Pia;w
3;Konstantin;m
3;Sarah;w
3;Leander;m
3;Victoria;w
3;Lennart;m
3;Viktoria;w
3;Lucas;m
3;Luis;m
3;Luka;m
3;Marlon;m
3;Milo;m
3;Peter;m
3;Richard;m
3;Viktor;m
3;Yasin;m
3;Youssef;m
2;Alexis;w
2;Alisa;w
2;Angelina;w
2;Augusta;w
2;Aurelia;w
2;Carlotta;w
2;Diana;w
2;Elina;w
2;Elise;w
2;Finja;w
2;Adam;m
2;Frederike;w
2;Amon;m
2;Freyja;w
2;Andreas;m
2;Hannah;w
2;Asher;m
2;Henriette;w
2;August;m
2;Hilde;w
2;Aurelius;m
2;Ida;w
2;Bennet;m
2;Isabell;w
2;Bent;m
2;Jana;w
2;Carlo;m
2;Josefine;w
2;Cem;m
2;Kaja;w
2;Charlie;m
2;Karoline;w
2;Charly;m
2;Katharina;w
2;Damian;m
2;Lara;w
2;Dominik;m
2;Leyla;w
2;Elian;m
2;Lia;w
2;Ennio;m
2;Lily;w
2;Franz;m
2;Liv;w
2;Frederik;m
2;Lou;w
2;Gabriel;m
2;Lucia;w
2;George;m
2;Mailin;w
2;Gerhard;m
2;Marianne;w
2;Gregor;m
2;Marleen;w
2;Heinrich;m
2;Martha;w
2;Horst;m
2;Mia-Sophie;w
2;Johann;m
2;Michelle;w
2;Johannes;m
2;Milena;w
2;Jona;m
2;Mira;w
2;Julian;m
2;Miriam;w
