anzahl;vorname;geschlecht
103;Sophie;w
96;Marie;w
62;Maximilian;m
58;Alexander;m
54;Charlotte;w
53;Maria;w
52;Paul;m
47;Noah;m
47;Emilia;w
46;Jakob;m
45;Elias;m
45;Jonas;m
43;Anna;w
43;Emma;w
42;Johanna;w
41;Leon;m
39;Emil;m
39;Felix;m
39;Jonathan;m
38;Ali;m
38;Anton;m
38;Oskar;m
37;Luise;w
36;Luca;m
34;Mila;w
32;Hannah;w
32;Sophia;w
32;David;m
31;Elisabeth;w
29;Ella;w
29;Lea;w
29;Luisa;w
28;Theodor;m
28;Vincent;m
27;Lina;w
26;Clara;w
26;Louis;m
26;Laura;w
25;Elisa;w
25;Marlene;w
24;Ben;m
24;Karl;m
24;Moritz;m
24;Valentin;m
23;Frida;w
23;Mira;w
23;Benjamin;m
23;Julian;m
23;Max;m
22;Greta;w
22;Mia;w
22;Friedrich;m
22;Gabriel;m
22;Johann;m
22;Samuel;m
21;Emily;w
21;Helena;w
21;Leonie;w
21;Muhammed;m
20;Elif;w
20;Hanna;w
20;Lara;w
20;Daniel;m
20;Matilda;w
20;Jan;m
20;Julius;m
20;Leonard;m
20;Liam;m
20;Philipp;m
19;Antonia;w
19;Helene;w
19;Mathilda;w
19;Christian;m
19;Raphael;m
18;Paula;w
18;Amir;m
18;Luis;m
17;Ida;w
17;Lena;w
17;Adam;m
17;Ferdinand;m
17;Johannes;m
17;Konstantin;m
16;Isabella;w
16;Leni;w
16;Maya;w
16;Carl;m
16;Henry;m
16;Leo;m
16;Lukas;m
16;Malik;m
16;Maxim;m
16;Milan;m
16;Niklas;m
16;Oscar;m
16;Simon;m
15;Alma;w
15;Carlotta;w
15;Ela;w
15;Frieda;w
15;Lia;w
15;Mina;w
15;Nur;w
15;Sofia;w
15;Zoe;w
15;Bruno;m
15;Erik;m
15;Joshua;m
15;Linus;m
15;Tim;m
14;Ava;w
14;Elena;w
14;Eva;w
14;Julia;w
14;Katharina;w
14;Miray;w
14;Olivia;w
14;Victoria;w
14;Adrian;m
14;Finn;m
14;Mateo;m
14;Ole;m
14;Theo;m
13;Amelie;w
13;Klara;w
13;Luna;w
13;Magdalena;w
13;Nele;w
13;Arthur;m
13;August;m
13;Can;m
13;Frederik;m
13;Fynn;m
13;Michael;m
13;Mika;m
13;Richard;m
12;Amelia;w
12;Elise;w
12;Josephine;w
12;Sarah;w
12;Viktoria;w
12;Emir;m
12;Fabian;m
12;Justus;m
12;Leander;m
12;Leopold;m
12;Levi;m
12;Matteo;m
11;Carla;w
11;Elsa;w
11;Lucia;w
11;Sara;w
11;Benedikt;m
11;Eymen;m
11;Florian;m
11;Kaan;m
11;Levin;m
11;Lucas;m
10;Amalia;w
10;Felicitas;w
10;Isabel;w
10;Nina;w
10;Nisa;w
10;Nora;w
10;Pauline;w
