anzahl;vorname;geschlecht
25;Marie;w
21;Sophie;w
20;Emma;w
16;Anton;m
16;Oskar;m
16;Johanna;w
14;Maximilian;m
13;Emil;m
13;Leon;m
12;Charlotte;w
12;Luca;m
12;Emilia;w
11;Alexander;m
11;Lina;w
11;Ben;m
11;Karl;m
11;Paul;m
10;Elias;m
10;Moritz;m
9;Helena;w
9;Luise;w
9;Maria;w
9;Rosa;w
9;Finn;m
8;Frida;w
8;Hannah;w
8;Erik;m
8;Mathilda;w
8;Jakob;m
8;Lukas;m
7;Emily;w
7;Leonie;w
7;Felix;m
7;Marlene;w
7;Liam;m
7;Matilda;w
7;Phil;m
7;Mia;w
7;Theo;m
7;Nora;w
7;Theodor;m
7;Paula;w
6;David;m
6;Anna;w
6;Friedrich;m
6;Elisa;w
6;Fynn;m
6;Ella;w
6;Henry;m
6;Frieda;w
6;Johannes;m
6;Helene;w
6;John;m
6;Lea;w
6;Jonas;m
6;Luisa;w
6;Leonard;m
6;Melina;w
6;Levi;m
6;Nele;w
6;Max;m
6;Pauline;w
6;Robert;m
6;Pia;w
6;Thomas;m
6;Valentin;m
6;Vincent;m
5;Clara;w
5;Emilie;w
5;Greta;w
5;Fabian;m
5;Hanna;w
5;Joel;m
5;Lena;w
5;Konstantin;m
5;Merle;w
5;Louis;m
5;Mila;w
5;Michael;m
5;Sophia;w
5;Mika;m
5;Milan;m
5;Nils;m
4;Amelie;w
4;Carlotta;w
4;Elena;w
4;Benedikt;m
4;Elisabeth;w
4;Benjamin;m
4;Isabelle;w
4;Fritz;m
4;Josephine;w
4;Julius;m
4;Katharina;w
4;Maik;m
4;Klara;w
4;Martin;m
4;Lara;w
4;Maxim;m
4;Leni;w
4;Noah;m
4;Lucia;w
4;Ole;m
4;Maja;w
4;Oliver;m
4;Martha;w
4;Philipp;m
4;Nina;w
4;Robin;m
4;Sofia;w
4;Samuel;m
4;Tim;m
4;Tobias;m
4;Tom;m
4;Werner;m
4;Willi;m
3;Alina;w
3;Alma;w
3;Angelika;w
3;Antonia;w
3;Dorothea;w
3;Elli;w
3;Arthur;m
3;Elsa;w
3;Bela;m
3;Emelie;w
3;Carl;m
3;Eva;w
3;Carlo;m
3;Friederike;w
3;Christian;m
3;Heidi;w
3;Eliah;m
3;Ida;w
3;Finley;m
3;Josefine;w
3;Gustav;m
3;Juna;w
3;Henri;m
3;Karla;w
3;Herbert;m
3;Laura;w
3;Jonathan;m
3;Lieselotte;w
3;Josef;m
3;Lotta;w
3;Julian;m
3;Lotte;w
3;Juri;m
3;Magdalena;w
3;Justus;m
3;Mara;w
3;Lennard;m
3;Maya;w
3;Leopold;m
3;Melissa;w
3;Linus;m
3;Romy;w
3;Luke;m
3;Victoria;w
3;Malik;m
3;Marvin;m
3;Matthias;m
3;Matti;m
3;Mattis;m
3;Niklas;m
3;Noel;m
3;Pepe;m
3;Ragnar;m
3;Timo;m
3;Uwe;m
3;Veit;m
3;Willy;m
2;Alexandra;w
2;Amilia;w
2;Amy;w
2;Annabell;w
2;Annelie;w
2;Annika;w
2;Ava;w
2;Carla;w
2;Caroline;w
2;Celina;w
2;Christina;w
2;Elaine;w
2;Elin;w
2;Adam;m
2;Emmi;w
2;Adrian;m
2;Erna;w
2;Amadeus;m
2;Fenja;w
2;Andreas;m
2;Finja;w
2;André;m
2;Fiona;w
2;Anthony;m
2;Flora;w
2;Bennet;m
2;Franziska;w
2;Bennett;m
2;Holly;w
2;Bernhard;m
2;Ina;w
2;Bo;m
2;Ira;w
2;Charlie;m
2;Isabel;w
2;Chris;m
2;Joelina;w
2;Christoph;m
2;Judith;w
2;Connor;m
2;Karoline;w
2;Damien;m
2;Käthe;w
2;Elia;m
2;Leonor;w
2;Elijah;m
2;Lia;w
2;Emanuel;m
2;Linnea;w
2;Erwin;m
2;Lisa;w
2;Evan;m
2;Liv;w
2;Finlay;m
2;Lola;w
2;Fiodor;m
2;Lore;w
2;Florin;m
2;Luca;w
2;Frederick;m
2;Lucy;w
2;Frederik;m
2;Luna;w
2;Fridolin;m
2;Malia;w
2;Günter;m
2;Malin;w
2;Ilay;m
2;Margarete;w
2;James;m
2;Mathea;w
2;Jamie;m
2;Melanie;w
2;Jan;m
2;Melia;w
2;Jannes;m
2;Milena;w
2;Jens;m
2;Milla;w
2;Johann;m
2;Milly;w
2;Jonah;m
2;Nike;w
2;Joshua;m
2;Rosalie;w
2;Kasimir;m
2;Rose;w
2;Kilian;m
2;Ruth;w
2;Kolja;m
2;Samantha;w
2;Konrad;m
2;Sina;w
2;Lars;m
2;Tamina;w
2;Leander;m
2;Theresa;w
2;Leo;m
2;Valea;w
2;Levin;m
2;Valentina;w
2;Luis;m
2;Vanessa;w
2;Mats;m
2;Ziva;w
2;Mike;m
2;Zoe;w
2;Mio;m
2;Neo;m
2;Oscar;m
2;Otto;m
2;Peter;m
2;Piet;m
2;Raphael;m
2;Reinhard;m
2;Richard;m
2;Ronny;m
2;Sebastian;m
2;Till;m
2;Torin;m
2;Ulrich;m
2;Walter;m
2;William;m
2;Yannis;m
2;Yunus;m
1;Abby;w
1;Ada;w
1;Adele;w
1;Adeline;w
1;Adriana;w
1;Agnes;w
1;Alani;w
1;Alessia;w
1;Alexis;w
1;Aleyna;w
1;Aliah;w
1;Alyna;w
1;Amanda;w
1;Amelia;w
1;Amia;w
1;Anastasia;w
1;Andriïvna;w
1;Anh;w
1;Aaron;m
1;Ania;w
1;Abubakar;m
1;Aniela;w
1;Achim;m
1;Aniko;w
1;Aeneas;m
1;Anina;w
1;Ahmad;m
1;Anna-Katharina;w
1;Aidan;m
1;Anna-Sophie;w
1;Aiden;m
1;Annalena;w
1;Aki;m
1;Anne;w
1;Albert;m
1;Annegret;w
1;Alessio;m
1;Annemarie;w
1;Alexis;m
1;Annett;w
1;Alfred;m
1;Annette;w
1;Alois;m
1;Anni;w
1;Aman;m
1;Anouk;w
1;Amaru;m
1;Antea;w
1;Amin;m
1;Arina;w
1;Amon;m
1;Auguste;w
1;Amos;m
1;Aulona;w
1;Anakin;m
1;Aurelia;w
1;Anders;m
1;Aveline;w
1;Anderson;m
1;Ayin;w
1;Angelov;m
1;Ayla;w
1;Ansgar;m
1;Aylin;w
1;Antonio;m
1;Baley;w
1;Armando;m
1;Bela;w
1;Arne;m
1;Bernardina;w
1;Arnel;m
1;Betty;w
1;Arnold;m
1;Breana;w
1;Arthus;m
1;Caitlin;w
1;Artur;m
1;Carline;w
1;Augustin;m
1;Carolin;w
1;Auric;m
1;Catleya;w
1;Baldur;m
1;Celine;w
1;Balin;m
1;Chantalle-Sabine;w
1;Bao;m
1;Chiara;w
1;Ben-Louis;m
1;Chloe;w
1;Ben-Luis;m
1;Christa;w
1;Benedict;m
1;Cleo;w
1;Benno;m
1;Coco;w
1;Bent;m
1;Cosma;w
1;Bernd;m
1;Danielle-Noël;w
