anzahl;vorname;geschlecht
64;Charlotte;w
51;Marie;w
50;Sophie;w
42;Anton;m
42;Emma;w
42;Maria;w
41;Emil;m
40;Ali;m
39;Alexander;m
39;Anna;w
37;Leon;m
37;Mia;w
35;Elias;m
33;Karl;m
33;Paul;m
31;Oskar;m
30;Luise;w
30;Felix;m
29;Ella;w
29;Noah;m
28;Johanna;w
28;Henry;m
27;Jonas;m
26;Paula;w
26;Jonathan;m
26;Maximilian;m
24;Emilia;w
24;Mira;w
24;Jakob;m
24;Valentin;m
23;Elisabeth;w
23;Ida;w
23;Julius;m
22;Sophia;w
22;Moritz;m
21;Mila;w
21;Adam;m
21;Ben;m
21;David;m
21;Friedrich;m
21;Louis;m
21;Lukas;m
20;Clara;w
20;Hannah;w
19;Julia;w
19;Lina;w
19;Marlene;w
19;Olivia;w
19;Liam;m
19;Luca;m
18;Alma;w
18;Anh;w
18;Carl;m
18;Levi;m
18;Michael;m
17;Carlotta;w
17;Helene;w
17;Lea;w
17;Benjamin;m
17;Henri;m
17;Milan;m
16;Elisa;w
16;Emily;w
16;Maja;w
16;Maya;w
16;Nora;w
16;Daniel;m
16;Rosa;w
16;Leo;m
16;Luis;m
16;Max;m
16;Minh;m
16;Theodor;m
16;Tony;m
15;Erik;m
15;Finn;m
15;Milo;m
15;Niklas;m
15;Vincent;m
14;Elif;w
14;Martha;w
14;Mina;w
14;Johann;m
14;Leonard;m
14;Leopold;m
14;Theo;m
14;Yusuf;m
13;Lia;w
13;Louise;w
13;Pauline;w
13;Sofia;w
13;Amir;m
13;Frederik;m
12;Amalia;w
12;Elena;w
12;Florentine;w
12;Frida;w
12;Greta;w
12;Lena;w
12;Leni;w
12;Lisa;w
12;Matilda;w
12;Nina;w
12;Arthur;m
12;Fabian;m
12;Jan;m
12;Josef;m
12;Martin;m
12;Matteo;m
12;Muhammed;m
12;Samuel;m
11;Ava;w
11;Ela;w
11;Frieda;w
11;Helena;w
11;Lucia;w
11;Paulina;w
11;Sara;w
11;Selma;w
11;Anh;m
11;August;m
11;Bảo;m
