anzahl;vorname;geschlecht
27;Marie;w
21;Alexander;m
18;Mia;w
16;Sophie;w
13;Ben;m
13;Elias;m
13;Jonas;m
13;Charlotte;w
13;Emma;w
12;Felix;m
12;Finn;m
12;Oskar;m
11;Luca;m
11;Maximilian;m
10;Anna;w
10;Paul;m
9;Amelie;w
9;Jasmin;w
9;Sophia;w
8;Emilia;w
8;Florian;m
8;Emily;w
8;John;m
8;Richard;m
7;Johanna;w
7;Klara;w
7;Anton;m
7;Melina;w
7;Emil;m
7;Joel;m
7;Louis;m
7;Max;m
7;Michael;m
7;Noah;m
7;Philipp;m
7;Sebastian;m
7;Tom;m
6;Clara;w
6;Elisabeth;w
6;Hanna;w
6;Laura;w
6;Lena;w
6;Leonie;w
6;Lilly;w
6;Nele;w
6;Fabian;m
6;Fynn;m
6;Johannes;m
6;Leon;m
6;Luis;m
6;Lukas;m
6;Theo;m
6;Tim;m
6;Timo;m
6;Tobias;m
5;Alina;w
5;Aurora;w
5;Eva;w
5;Katharina;w
5;Lea;w
5;Lucy;w
5;Luise;w
5;Marlene;w
5;Mina;w
5;Nora;w
5;Sofia;w
5;Adrian;m
5;Arthur;m
5;Constantin;m
5;David;m
5;Gustav;m
5;Jan;m
5;Karl;m
5;Liam;m
5;Lucas;m
5;Milan;m
5;Nils;m
5;Raphael;m
5;Simon;m
4;Anni;w
4;Emely;w
4;Finja;w
4;Hannah;w
4;Helena;w
4;Isabell;w
4;Josephine;w
4;Julia;w
4;Lina;w
4;Lisa;w
4;Luisa;w
4;Maja;w
4;Matilda;w
4;Christian;m
4;Mila;w
4;Daniel;m
4;Miriam;w
4;Frank;m
4;Henri;m
4;Henry;m
4;Jannis;m
4;Johann;m
4;Julius;m
4;Levin;m
4;Maxim;m
4;Nikita;m
4;Pascal;m
4;Rafael;m
4;Stefan;m
4;Theodor;m
4;Vincent;m
4;Wolfgang;m
3;Alexandra;w
3;Anastasia;w
3;Annika;w
3;Ashley;w
3;Elena;w
3;Elina;w
3;Elisa;w
3;Elise;w
3;Fiona;w
3;Friederike;w
3;Greta;w
3;Josefine;w
3;Julie;w
3;Kimberly;w
3;Leni;w
3;Adam;m
3;Lia;w
3;Alex;m
3;Liv;w
3;Benjamin;m
3;Luna;w
3;Bruno;m
3;Maria;w
3;Collin;m
3;Melissa;w
3;Devin;m
3;Michelle;w
3;Eduard;m
3;Mira;w
3;Elia;m
3;Pauline;w
3;Erwin;m
3;Pia;w
3;Finley;m
3;Finnley;m
3;Frederik;m
3;Fritz;m
3;Hans;m
3;Ian;m
3;Jamie;m
3;Jason;m
3;Joshua;m
3;Klaus;m
3;Lennard;m
3;Lennox;m
3;Levi;m
3;Malte;m
3;Mario;m
3;Matthias;m
3;Milow;m
3;Moritz;m
3;Nick;m
3;Oliver;m
3;Otto;m
3;Ralf;m
3;Robert;m
3;Robin;m
3;Steffen;m
3;Taylor;m
2;Alexis;w
2;Alice;w
2;Anastasija;w
2;Annalena;w
2;Annie;w
2;Antonia;w
2;Carina;w
2;Carlotta;w
2;Chiara;w
2;Diana;w
2;Eleanor;w
2;Ella;w
2;Elli;w
2;Elvira;w
2;Evelyn;w
2;Fee;w
2;Freya;w
2;Frida;w
2;Frieda;w
2;Hailey;w
2;Heidi;w
2;Hope;w
2;Ida;w
