anzahl;vorname;geschlecht
112;Marie;w
84;Sophie;w
81;Charlotte;w
68;Alexander;m
57;Paul;m
51;Maximilian;m
49;Mia;w
47;Oskar;m
47;Johanna;w
45;Emilia;w
44;Emma;w
44;Maria;w
43;Emil;m
43;Theodor;m
42;Elias;m
41;Anton;m
40;Jonas;m
40;Anna;w
40;Elisabeth;w
40;Luise;w
39;Lina;w
36;Sophia;w
35;Ben;m
35;Noah;m
35;Greta;w
33;Felix;m
31;Luca;m
30;Karl;m
28;Leonard;m
28;Ella;w
28;Mathilda;w
27;Jonathan;m
27;Louis;m
27;Lea;w
26;Leo;m
26;Theo;m
25;Emily;w
25;Frieda;w
25;Finn;m
25;Laura;w
25;Moritz;m
25;Nele;w
24;Benjamin;m
24;Marlene;w
24;Henry;m
24;Matilda;w
24;Leon;m
24;Liam;m
23;Erik;m
23;Friedrich;m
23;Johann;m
22;Hannah;w
22;Jakob;m
22;Niklas;m
21;Clara;w
21;Leni;w
21;Luisa;w
21;Arthur;m
21;Lukas;m
21;Max;m
21;Milan;m
21;Tim;m
20;Amelie;w
20;Paulina;w
20;Pauline;w
20;Matteo;m
20;Philipp;m
19;Lara;w
19;Lena;w
19;Mila;w
19;Pepe;m
18;Leonie;w
18;Georg;m
18;Johannes;m
18;Valentin;m
17;Antonia;w
17;Hanna;w
17;Klara;w
17;Lotta;w
17;Mara;w
17;Paula;w
17;Carl;m
17;Julian;m
17;Julius;m
17;Tom;m
16;Helena;w
16;Mira;w
16;Bruno;m
16;Florian;m
16;Henri;m
16;John;m
16;Levi;m
16;Michael;m
16;Richard;m
16;Samuel;m
16;Till;m
15;Ava;w
15;Henriette;w
15;Adrian;m
15;David;m
15;Fritz;m
15;Gustav;m
15;Linus;m
15;Thomas;m
14;Alexandra;w
14;Carlotta;w
14;Elise;w
14;Ida;w
14;Lilly;w
14;Lisa;w
14;Lucia;w
14;Pia;w
14;Justus;m
14;Luis;m
14;Mats;m
13;Elisa;w
13;Frida;w
13;Julia;w
13;Luna;w
13;Maja;w
13;Mina;w
13;Olivia;w
13;Sarah;w
13;Sofia;w
13;Tilda;w
13;Aaron;m
13;Albert;m
13;Christian;m
13;Edgar;m
13;Maxim;m
13;Mika;m
13;Ole;m
13;Oliver;m
13;Raphael;m
13;Vincent;m
12;Amalia;w
12;Isabella;w
12;Katharina;w
12;Maya;w
12;Nora;w
12;Stella;w
12;Fabian;m
12;Konstantin;m
12;Leopold;m
12;Levin;m
12;Matthias;m
12;Milo;m
12;Noel;m
12;Tobias;m
12;Willi;m
11;Alina;w
11;Elena;w
11;Elsa;w
11;Helene;w
11;Lotte;w
11;Martha;w
11;Rosa;w
11;Ruth;w
11;Ferdinand;m
11;Nicolas;m
11;Peter;m
11;Wilhelm;m
10;Alma;w
10;Amelia;w
10;Edda;w
10;Flora;w
10;Jasmin;w
10;Käthe;w
10;Lou;w
10;Louisa;w
10;Louise;w
10;Melina;w
10;Adam;m
10;Nina;w
10;Constantin;m
10;Rosalie;w
10;Franz;m
10;Jannis;m
10;Jona;m
10;Jonah;m
10;Matti;m
10;Mattis;m
10;Simon;m
9;Anni;w
9;Elina;w
9;Milena;w
9;Victoria;w
9;Andreas;m
9;Daniel;m
9;Eric;m
9;Gabriel;m
9;Hans;m
9;Hugo;m
9;Joel;m
9;Malte;m
8;Eva;w
8;Florentine;w
8;Friederike;w
8;Grace;w
8;Josephine;w
8;Karla;w
8;Miriam;w
8;Valentina;w
8;André;m
8;Bennet;m
8;Caspar;m
8;Finley;m
8;Fynn;m
8;Jan;m
8;Leander;m
8;Marc;m
8;Martin;m
8;Mike;m
8;Oscar;m
7;Alva;w
7;Anastasia;w
7;Annika;w
7;Barbara;w
7;Dorothea;w
7;Ellie;w
7;Fritzi;w
7;Isabelle;w
7;Jette;w
7;Jolie;w
7;Liv;w
7;Magdalena;w
7;Malou;w
7;Mariella;w
7;August;m
7;Marta;w
7;Carlo;m
7;Rose;w
7;Christoph;m
7;Zoe;w
7;Frank;m
7;Ian;m
7;Jasper;m
7;Joshua;m
7;Lasse;m
7;Luke;m
7;Marlon;m
7;Matheo;m
7;Phil;m
7;Robin;m
7;Sam;m
6;Anne;w
6;Anouk;w
6;Christin;w
6;Eleonore;w
6;Elin;w
6;Fiona;w
6;Isabel;w
6;Isabell;w
6;Joleen;w
6;Josefine;w
6;Julie;w
6;Ahmad;m
6;Juna;w
6;Bela;m
6;Kira;w
6;Carlos;m
6;Lana;w
6;Dean;m
6;Lia;w
6;Egon;m
6;Lucy;w
6;Frederik;m
6;Malina;w
6;Hannes;m
6;Sofie;w
6;Jacob;m
6;Tessa;w
6;Jamie;m
6;Theresa;w
6;Jannik;m
6;Zoey;w
6;Janosch;m
6;Kilian;m
6;Kurt;m
6;Lennox;m
6;Lian;m
6;Luka;m
6;Otto;m
6;Sebastian;m
6;Wolfgang;m
5;Ada;w
5;Alena;w
5;Amy;w
5;Cataleya;w
5;Cosima;w
5;Doris;w
5;Eliza;w
5;Elli;w
5;Elly;w
5;Alfred;m
5;Emilie;w
5;Ali;m
5;Enie;w
5;Arne;m
5;Erika;w
5;Arvid;m
5;Finja;w
5;Aurelius;m
5;Gabriele;w
5;Benedikt;m
5;Hedda;w
5;Christopher;m
5;Jonna;w
5;Colin;m
5;Karoline;w
5;Emilian;m
5;Lilli;w
5;Fiete;m
5;Lilou;w
5;Finnley;m
5;Lynn;w
5;Hendrik;m
5;Maila;w
5;Ilay;m
5;Malia;w
5;Jaron;m
5;Marla;w
5;Johan;m
5;Melissa;w
5;Jörg;m
5;Merle;w
5;Jürgen;m
5;Milla;w
5;Kai;m
5;Natalie;w
5;Kasimir;m
5;Romy;w
5;Konrad;m
5;Sabine;w
5;Lars;m
5;Sina;w
5;Lennard;m
5;Wilma;w
5;Leonhard;m
5;Lionel;m
5;Ludwig;m
5;Marvin;m
5;Noam;m
5;Rafael;m
5;Stephan;m
5;Thore;m
5;William;m
4;Alicia;w
4;Alissa;w
4;Alyssa;w
4;Amira;w
4;Annabell;w
4;Annelie;w
4;Aurelia;w
4;Carla;w
4;Caroline;w
4;Bernd;m
4;Charlott;w
4;Charlie;m
4;Christine;w
4;Conner;m
4;Edith;w
4;Damian;m
4;Fabienne;w
4;Elyas;m
4;Hailey;w
4;Emilio;m
4;Hedwig;w
4;Enrico;m
4;Heidi;w
4;Erich;m
4;Jane;w
4;Etienne;m
4;Joline;w
4;Frederick;m
4;Josephin;w
4;Günter;m
4;Karin;w
4;Heinz;m
4;Karlotta;w
4;Henning;m
4;Larissa;w
4;James;m
4;Leah;w
4;Janne;m
4;Lene;w
4;Jannes;m
4;Leonora;w
4;Jason;m
4;Leticia;w
4;Jonte;m
4;Linda;w
4;Joris;m
4;Luca;w
4;Josef;m
4;Mala;w
4;Kaspar;m
4;Marleen;w
4;Lennart;m
4;Mathilde;w
4;Lias;m
4;Melia;w
4;Lion;m
4;Ophelia;w
4;Luan;m
4;Sara;w
4;Lucas;m
4;Toni;w
4;Manfred;m
4;Valerie;w
4;Marcel;m
4;Vanessa;w
4;Mio;m
4;Veronika;w
4;Nick;m
4;Viktoria;w
4;Nikolai;m
4;Viola;w
4;Nils;m
4;Yara;w
4;Nino;m
4;Zoé;w
4;Pascal;m
4;Piet;m
4;Robert;m
4;Roman;m
4;Stefan;m
4;Tammo;m
4;Toni;m
4;Tony;m
