anzahl;vorname;geschlecht
26;Marie;w
13;Elias;m
13;Charlotte;w
11;Liam;m
11;Sophie;w
10;Paul;m
9;Elif;w
9;Emilia;w
9;Katharina;w
9;Lara;w
9;Leonie;w
9;Maja;w
9;Maria;w
8;Ben;m
8;Jonas;m
7;Alexander;m
7;Lennard;m
7;Leon;m
7;Michael;m
7;Luise;w
7;Mia;w
7;Mila;w
6;Adam;m
6;Ali;m
6;Can;m
6;Felix;m
6;Joshua;m
6;Lena;w
6;Louis;m
6;Luca;m
6;Muhammed;m
5;Amira;w
5;Asya;w
5;Hannah;w
5;Anton;m
5;Jasmin;w
5;Dean;m
5;Julia;w
5;Ilyas;m
5;Larissa;w
5;Maxim;m
5;Leyla;w
5;Muhammad;m
5;Maya;w
5;Niklas;m
5;Sophia;w
5;Noah;m
5;Valentin;m
5;Yusuf;m
4;Alexandra;w
4;Emily;w
4;Hanna;w
4;Amir;m
4;Laura;w
4;Benjamin;m
4;Lea;w
4;Carl;m
4;Lina;w
4;Colin;m
4;Marlene;w
4;Emir;m
4;Mina;w
4;Finn;m
4;Jakob;m
4;Jan;m
4;Jayden;m
4;Lukas;m
4;Maximilian;m
4;Mehmet;m
4;Milan;m
4;Moritz;m
4;Robert;m
4;Sebastian;m
4;William;m
3;Alessia;w
3;Annabelle;w
3;Aurora;w
3;Elli;w
3;Helena;w
3;Hiranur;w
3;Isabel;w
3;Johanna;w
3;Josephine;w
3;Juna;w
3;Mathilda;w
3;Mira;w
3;Adrian;m
3;Nora;w
3;Alan;m
3;Victoria;w
3;Alessio;m
3;Viktoria;w
3;Arthur;m
3;Artur;m
3;Daniel;m
3;David;m
3;Emil;m
3;Emin;m
3;Erik;m
3;Gabriel;m
3;Hasan;m
3;Hussein;m
3;Ibrahim;m
3;Isa;m
3;Kaan;m
3;Karim;m
3;Konstantin;m
3;Lennox;m
3;Linus;m
3;Lucas;m
3;Mark;m
3;Matteo;m
3;Miran;m
3;Mustafa;m
3;Omar;m
3;Prince;m
3;Ömer;m
2;Aaliyah;w
2;Adelina;w
2;Ajla;w
2;Alicia;w
2;Alina;w
2;Almina;w
2;Amanda;w
2;Amelia;w
2;Amelie;w
2;Amina;w
2;Anastasia;w
2;Anastasija;w
2;Anna;w
2;Annabell;w
2;Antonia;w
2;Arin;w
2;Aylin;w
2;Azra;w
2;Birgit;w
2;Chloé;w
2;Clara;w
2;Ela;w
2;Elisa;w
2;Ella;w
2;Evelyn;w
2;Abdullah;m
2;Felina;w
2;Abdulrahman;m
2;Frieda;w
2;Ahmed;m
2;Greta;w
2;Ahmet;m
2;Hana;w
2;Alessandro;m
2;Havva;w
2;Antonio;m
2;Isabella;w
2;Arda;m
2;Jane;w
2;Atta;m
2;Jessica;w
2;Benedikt;m
2;Joline;w
2;Bünyamin;m
2;Leah;w
2;Cahit;m
2;Lejla;w
