anzahl;vorname;geschlecht
23;Marie;w
20;Maximilian;m
19;Maria;w
18;Alexander;m
18;Sophie;w
16;Theodor;m
16;Charlotte;w
14;Emma;w
14;Sophia;w
12;David;m
12;Elias;m
12;Jonas;m
12;Paul;m
12;Anna;w
12;Elisabeth;w
11;Emily;w
11;Luisa;w
10;Clara;w
9;Leo;m
9;Leon;m
9;Luca;m
9;Lukas;m
9;Philipp;m
9;Elisa;w
9;Johanna;w
8;Aaron;m
8;Jakob;m
8;Antonia;w
8;Joshua;m
8;Emilia;w
8;Leonard;m
7;Amelie;w
7;Karl;m
7;Hannah;w
7;Lennard;m
7;Julia;w
7;Liam;m
7;Lea;w
7;Simon;m
7;Luise;w
7;Tim;m
6;Ella;w
6;Gabriel;m
6;Helene;w
6;Jonathan;m
6;Katharina;w
6;Julian;m
6;Leni;w
6;Milan;m
6;Lotta;w
6;Oliver;m
6;Marlene;w
6;Samuel;m
6;Mathilda;w
6;Vincent;m
6;Mila;w
5;Adam;m
5;Helena;w
5;Ben;m
5;Leonie;w
5;Christian;m
5;Lilly;w
5;Damian;m
5;Maya;w
5;Daniel;m
5;Merle;w
5;Felix;m
5;Mia;w
5;Finn;m
5;Michelle;w
5;Henry;m
5;Nora;w
5;Jan;m
5;Olivia;w
5;Luis;m
5;Victoria;w
5;Noah;m
5;Tobias;m
4;Eva;w
4;Friederike;w
4;Andreas;m
4;Ida;w
4;Anton;m
4;Isabell;w
4;Emil;m
4;Lena;w
4;Friedrich;m
4;Lia;w
4;Ilyas;m
4;Lisa;w
4;Joel;m
4;Mira;w
4;Johann;m
4;Sarah;w
4;Johannes;m
4;Sofia;w
4;Julius;m
4;Justus;m
4;Lasse;m
4;Leopold;m
4;Louis;m
4;Martin;m
4;Moritz;m
4;Oscar;m
4;Raphael;m
4;Timon;m
4;Valentin;m
3;Aliya;w
3;Aria;w
3;Aurora;w
3;Ava;w
3;Dorothea;w
3;Elena;w
3;Elif;w
3;Elsa;w
3;Emilie;w
3;Finja;w
3;Fiona;w
3;Adrian;m
3;Frida;w
3;Arthur;m
3;Hanna;w
3;Benedikt;m
3;Kira;w
3;Hendrik;m
3;Lara;w
3;Henri;m
3;Laura;w
3;Ivan;m
3;Leyla;w
3;Jannis;m
3;Lina;w
3;John;m
3;Linda;w
3;Josef;m
3;Livia;w
3;Leonidas;m
3;Lou;w
3;Levi;m
3;Louisa;w
3;Linus;m
3;Luna;w
3;Malte;m
3;Mara;w
3;Matteo;m
3;Melina;w
3;Max;m
3;Melissa;w
3;Maxim;m
3;Patricia;w
3;Mika;m
3;Rebecca;w
3;Nicolas;m
3;Rosa;w
3;Niklas;m
3;Sina;w
3;Oskar;m
3;Valentina;w
3;Philip;m
3;Zoe;w
3;Rafael;m
3;Richard;m
3;Thore;m
2;Agnes;w
2;Alexandra;w
2;Amalia;w
2;Alessio;m
2;Amelia;w
2;Arian;m
2;Amy;w
2;Artur;m
2;Angelina;w
2;August;m
2;Barbara;w
2;Bjarne;m
2;Berenike;w
2;Bosse;m
2;Carlotta;w
2;Can;m
2;Christa;w
2;Carlo;m
2;Cornelia;w
2;Che;m
2;Diana;w
2;Constantin;m
2;Edda;w
2;Emilian;m
2;Elizabeth;w
2;Eric;m
2;Ellena;w
2;Fabian;m
2;Filippa;w
2;Fedor;m
2;Flora;w
2;Frank;m
2;Giulia;w
2;Frederik;m
2;Grace;w
2;Georg;m
2;Greta;w
2;Hannes;m
2;Holly;w
2;Hermann;m
2;Hope;w
2;Jamie;m
2;Jane;w
2;Jona;m
2;Janna;w
2;Jonte;m
2;Josephine;w
2;Joseph;m
2;Julina;w
2;Kaan;m
2;Klara;w
2;Kilian;m
2;Käthe;w
2;Konstantin;m
2;Leah;w
2;Kurt;m
2;Linnea;w
2;Laith;m
2;Lotte;w
2;Lean;m
2;Maja;w
2;Leander;m
2;Martha;w
2;Lev;m
2;Milana;w
2;Levin;m
2;Miriam;w
2;Lian;m
2;Noa;w
2;Lionel;m
2;Paula;w
2;Magnus;m
2;Paulina;w
2;Malik;m
2;Pauline;w
2;Manfred;m
2;Philippa;w
2;Marko;m
2;Rachel;w
2;Mateo;m
2;Rose;w
2;Mathis;m
2;Sara;w
2;Michael;m
2;Selin;w
2;Mio;m
2;Sofie;w
2;Mohamed;m
2;Stella;w
2;Nathanael;m
2;Summer;w
2;Nelio;m
2;Susanna;w
2;Noel;m
2;Thalia;w
2;Pascal;m
2;Theresa;w
2;Pepe;m
2;Tilda;w
2;Peter;m
2;Vera;w
2;Pierre;m
2;Viktoria;w
2;Robert;m
2;Wilma;w
2;Rudi;m
2;Zoë;w
2;Ryan;m
2;Sam;m
2;Theo;m
2;Theodore;m
2;Thomas;m
2;Till;m
2;Titus;m
2;Tom;m
2;Walter;m
2;Younes;m
1;Abeni;w
1;Ada;w
1;Adela;w
1;Adele;w
1;Adriana;w
1;Afia;w
1;Agatha;w
1;Aisha;w
1;Aisosa;w
1;Akua;w
1;;m
1;Alessandra;w
1;Abdi;m
1;Alexandrovna;w
1;Abegnon;m
1;Aleyna;w
1;Abiel;m
1;Alice;w
1;Aboubacar;m
1;Alina;w
1;Adeel;m
1;Alissa;w
1;Adem;m
1;Alma;w
1;Adham;m
1;Alva;w
1;Adán;m
1;Amabel;w
