anzahl;vorname;geschlecht
21;Marie;w
18;Maximilian;m
17;Alexander;m
17;Charlotte;w
17;Paul;m
16;Sophie;w
15;Elias;m
15;Emilia;w
15;Emil;m
13;Maria;w
13;Finn;m
13;Jonas;m
13;Theodor;m
12;Anna;w
12;Emma;w
12;Mia;w
12;Henry;m
11;Johanna;w
11;Anton;m
11;Luise;w
11;Erik;m
11;Mathilda;w
11;Jonathan;m
11;Noah;m
10;Elisabeth;w
10;Hanna;w
10;Felix;m
10;Merle;w
10;Friedrich;m
10;Sophia;w
10;Leon;m
10;Valentin;m
9;Elise;w
9;Greta;w
9;Ben;m
9;Karl;m
9;Lukas;m
9;Max;m
8;Amelie;w
8;Emily;w
8;Edgar;m
8;Joel;m
8;Leonard;m
8;Linus;m
8;Ole;m
8;Oskar;m
8;Theo;m
8;Tim;m
7;Clara;w
7;Ida;w
7;Matilda;w
7;Mira;w
7;Paula;w
7;Pia;w
7;Rosalie;w
7;Victoria;w
7;David;m
7;Fritz;m
7;Gustav;m
7;Louis;m
7;Mattis;m
7;Moritz;m
6;Elisa;w
6;Hannah;w
6;Helene;w
6;Lina;w
6;Mila;w
6;Stella;w
6;Julian;m
6;Julius;m
6;Leo;m
6;Liam;m
6;Pepe;m
6;Philipp;m
6;Richard;m
5;Ella;w
5;Isabell;w
5;Isabella;w
5;Jasmin;w
5;Lara;w
5;Lena;w
5;Lou;w
5;Louise;w
5;Melina;w
5;Aaron;m
5;Mina;w
5;Arthur;m
5;Nele;w
5;Bela;m
5;Pauline;w
5;Bruno;m
5;Ronja;w
5;Fabian;m
5;Sofia;w
5;Fiete;m
5;Jakob;m
5;Jasper;m
5;Joshua;m
5;Konstantin;m
5;Levi;m
5;Luca;m
5;Mika;m
5;Niklas;m
5;Oliver;m
5;Simon;m
5;Timo;m
5;Vincent;m
5;Wilhelm;m
5;Willi;m
4;Alexandra;w
4;Antonia;w
4;Elli;w
4;Fiona;w
4;Franziska;w
4;Frida;w
4;Gerda;w
4;Laura;w
4;Leonie;w
4;Lotta;w
4;Lucy;w
4;Luisa;w
4;Luna;w
4;Magdalena;w
4;Marlene;w
4;Amir;m
4;Martha;w
4;Carlo;m
4;Rosa;w
4;Erwin;m
4;Valentina;w
4;Ferdinand;m
4;Viktoria;w
4;Frederik;m
4;Fynn;m
4;Hendrik;m
4;Henri;m
4;Ian;m
4;Johann;m
4;Leopold;m
4;Lucas;m
4;Mats;m
4;Milan;m
4;Mio;m
4;Oscar;m
4;Peter;m
4;Robin;m
4;Tobias;m
3;Alva;w
3;Amira;w
3;Anastasia;w
3;Annabelle;w
3;Anni;w
3;Anouk;w
3;Carlotta;w
3;Christiane;w
3;Daria;w
3;Emilie;w
3;Enna;w
3;Friederike;w
3;Henriette;w
3;Hermine;w
3;Isabel;w
3;Adam;m
3;Jessica;w
3;Aiden;m
3;Julia;w
3;Ali;m
3;Juna;w
3;August;m
3;Lea;w
3;Benedikt;m
3;Leni;w
3;Caspar;m
3;Lilly;w
3;Constantin;m
3;Linh;w
3;Daniel;m
3;Linnea;w
3;Dieter;m
3;Lisa;w
3;Elijah;m
3;Livia;w
3;Emilian;m
3;Louane;w
3;Enno;m
3;Lucia;w
3;Erich;m
3;Madita;w
3;Franz;m
3;Mara;w
3;Jack;m
3;Marta;w
3;Jan;m
3;Melissa;w
3;Jaro;m
3;Nina;w
3;John;m
3;Olivia;w
3;Juri;m
3;Tabea;w
3;Konrad;m
3;Zoe;w
3;Kurt;m
3;Leander;m
3;Lennard;m
3;Lorenz;m
3;Luka;m
3;Marcel;m
3;Maria;m
3;Milo;m
3;Nils;m
3;Noel;m
3;Till;m
3;Vito;m
3;Werner;m
2;Alexa;w
2;Alicia;w
2;Amalia;w
2;Amy;w
2;Ann;w
2;Annika;w
2;Aurora;w
2;Ava;w
2;Carla;w
2;Charlie;w
2;Christine;w
2;Diana;w
2;Dorothea;w
2;Adrian;m
2;Edda;w
2;Albert;m
2;Elina;w
2;Alfred;m
2;Eva;w
2;Alvar;m
2;Eveline;w
2;Antoni;m
2;Felina;w
2;Antonio;m
2;Finja;w
2;Augustin;m
2;Frederike;w
2;Benjamin;m
2;Freya;w
