anzahl;vorname;geschlecht
69;Sophie;w
61;Marie;w
52;Maria;w
48;Anna;w
47;Charlotte;w
46;Paul;m
45;Alexander;m
40;Maximilian;m
36;Elias;m
33;Ali;m
33;Emilia;w
31;Anton;m
28;Felix;m
28;Henry;m
28;Noah;m
28;Theodor;m
26;Ben;m
25;Luise;w
24;Sophia;w
24;Daniel;m
23;Ella;w
23;Johanna;w
23;Louis;m
23;Max;m
22;David;m
21;Helena;w
21;Marlene;w
21;Adam;m
21;Emil;m
21;Jakob;m
21;Jonas;m
21;Jonathan;m
21;Leon;m
21;Oskar;m
20;Elisabeth;w
20;Johann;m
20;Philipp;m
19;Lena;w
19;Mia;w
19;Benjamin;m
19;Friedrich;m
19;Mohammad;m
18;Amalia;w
18;Elif;w
18;Emily;w
18;Lina;w
18;Mira;w
18;Julius;m
18;Muhammed;m
17;Fatima;w
17;Matilda;w
17;Sara;w
17;Hamza;m
17;Jan;m
17;Liam;m
17;Luca;m
17;Michael;m
17;Samuel;m
16;Lara;w
16;Leonie;w
16;Olivia;w
16;Valentina;w
16;Johannes;m
16;Karl;m
16;Vincent;m
15;Elisa;w
15;Greta;w
15;Helene;w
15;Mila;w
15;Nur;w
15;Emir;m
15;Henri;m
15;Leo;m
15;Leonard;m
14;Alexandra;w
14;Emma;w
14;Eva;w
14;Ida;w
14;Lucia;w
14;Victoria;w
14;Arthur;m
14;Ferdinand;m
14;Milan;m
14;Omar;m
14;Yasin;m
13;Alma;w
13;Amelie;w
13;Luisa;w
13;Meryem;w
13;Konstantin;m
13;Lucas;m
13;Luis;m
13;Lukas;m
13;Mohamed;m
13;Tim;m
13;Ömer;m
12;Katharina;w
12;Laura;w
12;Lilly;w
12;Martha;w
12;Bruno;m
12;Carl;m
12;Fritz;m
12;Gabriel;m
12;Ibrahim;m
12;Joel;m
12;John;m
12;Leopold;m
11;Anastasia;w
11;Ava;w
11;Mathilda;w
11;Viktoria;w
11;Adrian;m
11;Christian;m
11;Georg;m
11;Otto;m
11;Sebastian;m
10;Carlotta;w
10;Clara;w
10;Hanna;w
10;Hannah;w
10;Julia;w
10;Lisa;w
10;Mariam;w
10;Maya;w
10;Medina;w
10;Sarah;w
10;Yasmin;w
10;Zehra;w
10;Zeynep;w
10;Ahmad;m
10;Amir;m
10;Can;m
10;Emilio;m
10;Erik;m
10;Finn;m
10;Linus;m
10;Maxim;m
10;Moritz;m
10;Simon;m
10;Thomas;m
10;Valentin;m
10;Yusuf;m
9;Alva;w
9;Antonia;w
9;Elena;w
9;Josephine;w
9;Lea;w
9;Luna;w
9;Maryam;w
9;Melek;w
9;Philippa;w
9;August;m
9;Constantin;m
9;Franz;m
9;Joshua;m
9;Julian;m
9;Malik;m
9;Mohamad;m
9;Mohammed;m
9;Ole;m
8;Aylin;w
8;Leni;w
8;Louisa;w
8;Rosa;w
8;Rosalie;w
8;Sofia;w
8;Aaron;m
8;Albert;m
8;Alessio;m
8;Aras;m
8;Eduard;m
8;Ismail;m
8;Josef;m
8;Justus;m
8;Muhammad;m
8;Mustafa;m
8;Noel;m
8;Peter;m
8;Richard;m
8;Theo;m
8;Wilhelm;m
7;Alice;w
7;Carla;w
7;Ela;w
7;Emine;w
7;Fatma;w
7;Frieda;w
7;Isabella;w
7;Josefine;w
7;Leyla;w
7;Mina;w
7;Miray;w
7;Monika;w
7;Nisa;w
7;Paula;w
7;Pauline;w
7;Rose;w
7;Stella;w
7;Alex;m
7;Benedikt;m
7;Caspar;m
7;Christoph;m
7;Efe;m
7;Elyas;m
7;Eren;m
7;Fabian;m
7;Frederik;m
7;Hasan;m
7;Joseph;m
7;Levi;m
7;Maria;m
7;Matteo;m
7;Mehmet;m
7;Mert;m
7;Robert;m
7;Umut;m
6;Ada;w
6;Alessia;w
6;Amina;w
6;Angelina;w
6;Anh;w
6;Elise;w
6;Emmi;w
6;Henriette;w
6;Iman;w
6;Jessica;w
6;Juna;w
6;Klara;w
6;Lia;w
6;Lotta;w
6;Louise;w
6;Maja;w
6;Melina;w
6;Nour;w
6;Selin;w
6;Zoe;w
6;Abdullah;m
6;Ahmet;m
6;Bilal;m
6;Damian;m
6;Dean;m
6;Florian;m
6;Gia;m
6;Gustav;m
6;Hugo;m
6;Kerim;m
6;Lars;m
6;Luka;m
6;Malte;m
6;Manuel;m
6;Martin;m
6;Minh;m
6;Nathan;m
6;Neo;m
6;Oliver;m
6;Oscar;m
6;Rafael;m
6;Taha;m
6;Timo;m
6;Willi;m
6;William;m
6;Youssef;m
6;Yunus;m
5;Alina;w
5;Alisa;w
5;Christina;w
5;Christine;w
5;Cleo;w
5;Defne;w
5;Eda;w
5;Elina;w
5;Elsa;w
5;Frida;w
5;Helin;w
5;Hira;w
5;Jana;w
5;Karla;w
5;Lene;w
5;Leonora;w
5;Lilou;w
5;Linda;w
5;Liya;w
5;Malia;w
5;Margarete;w
5;Marla;w
5;Melisa;w
5;Nora;w
5;Pia;w
5;Samira;w
5;Selma;w
5;Alp;m
5;Amin;m
5;Baran;m
5;Berat;m
5;Emanuel;m
5;Emre;m
5;Eymen;m
5;Halil;m
5;Hans;m
5;Hassan;m
5;Hussein;m
5;Ilyas;m
5;Jacob;m
5;Jamie;m
5;Jannis;m
5;Karim;m
5;Kilian;m
5;Kurt;m
5;Lasse;m
5;Mahmoud;m
5;Marcel;m
5;Robin;m
5;Sami;m
5;Samir;m
5;Selim;m
5;Talha;m
5;Viktor;m
4;Agnes;w
4;Amelia;w
4;Amira;w
4;Anouk;w
4;Asmin;w
4;Asya;w
4;Azra;w
4;Barbara;w
4;Bella;w
4;Dilara;w
4;Dorothea;w
4;Ellen;w
4;Emilie;w
4;Erika;w
4;Esma;w
4;Esther;w
4;Evin;w
4;Eylül;w
4;Florentine;w
4;Friederike;w
4;Gia;w
4;Hanin;w
4;Isabel;w
4;Isabelle;w
4;Jasmin;w
4;Juno;w
4;Karlotta;w
4;Lilia;w
4;Lilith;w
4;Lynn;w
4;Magdalena;w
4;Malak;w
4;Mara;w
4;May;w
4;;m
4;Nadine;w
4;Alfred;m
4;Naomi;w
4;Amar;m
4;Nele;w
4;Ayaz;m
4;Ngọc;w
4;Bela;m
4;Nicole;w
4;Benno;m
4;Nina;w
4;Bo;m
4;Ronja;w
4;Dennis;m
4;Sofie;w
4;Emilian;m
4;Theresa;w
4;Enes;m
4;Tuana;w
4;Ensar;m
4;Valerie;w
4;Eric;m
4;Vy;w
4;Ernst;m
4;Wilma;w
4;George;m
4;Zahraa;w
4;Heinrich;m
4;Zainab;w
4;Hendrik;m
4;Hüseyin;m
4;Idris;m
4;Islam;m
4;James;m
4;Jason;m
4;Jayden;m
4;Jeremy;m
4;Johan;m
4;Jona;m
4;Jonah;m
4;Joris;m
4;Jürgen;m
4;Kevin;m
4;Konrad;m
4;Leander;m
4;Lennard;m
4;Leonardo;m
4;Lion;m
4;Ludwig;m
4;Marius;m
4;Marten;m
4;Matti;m
4;Mika;m
4;Miran;m
4;Miraç;m
4;Niklas;m
4;Noé;m
4;Raphael;m
4;Rayan;m
4;Ruben;m
4;Salih;m
4;Stefan;m
4;Stephan;m
