anzahl;vorname;geschlecht;position
18;Marie;w;2
18;Ben;m;1
17;Paul;m;1
14;Sophie;w;2
14;Emma;w;1
13;Leon;m;1
12;Charlotte;w;1
12;Emilia;w;1
11;Johanna;w;1
11;Marie;w;1
11;Mia;w;1
10;Leonard;m;1
10;Liam;m;1
9;Alexander;m;2
9;Emil;m;1
9;Finn;m;1
9;Jonas;m;1
9;Oskar;m;1
8;Lena;w;1
8;Alexander;m;1
8;Henry;m;1
8;Niklas;m;1
7;Charlotte;w;2
7;Maria;w;2
7;Amelie;w;1
7;Sophia;w;1
7;Erik;m;1
7;Fynn;m;1
7;Julian;m;1
7;Louis;m;1
6;David;m;2
6;Paul;m;2
6;Elisabeth;w;2
6;Anastasia;w;1
6;Lina;w;1
6;Melina;w;1
6;Anton;m;1
6;Benjamin;m;1
6;David;m;1
6;Karl;m;1
6;Theo;m;1
5;Ali;m;2
5;Michael;m;2
5;Alina;w;1
5;Elisabeth;w;1
5;Frieda;w;1
5;Hanna;w;1
5;Lara;w;1
5;Laura;w;1
5;Leonie;w;1
5;Lilly;w;1
5;Lucy;w;1
5;Dean;m;1
5;Luisa;w;1
5;Elias;m;1
5;Luise;w;1
5;Fabian;m;1
5;Mila;w;1
5;Leo;m;1
5;Mira;w;1
5;Nikita;m;1
4;Elias;m;2
4;Emma;w;2
4;Joel;m;2
4;Luca;m;2
4;Matheo;m;2
4;Maximilian;m;2
4;Peter;m;2
4;Theodor;m;2
4;Anna;w;1
4;Damian;m;1
4;Clara;w;1
4;Daniel;m;1
4;Elisa;w;1
4;Felix;m;1
4;Ella;w;1
4;Henri;m;1
4;Emily;w;1
4;Jack;m;1
4;Finja;w;1
4;Jakob;m;1
4;Klara;w;1
4;Lennard;m;1
4;Lia;w;1
4;Luca;m;1
4;Lisa;w;1
4;Lukas;m;1
4;Maya;w;1
4;Luke;m;1
4;Merle;w;1
4;Martin;m;1
4;Nele;w;1
4;Max;m;1
4;Paula;w;1
4;Moritz;m;1
4;Pia;w;1
4;Noah;m;1
4;Ole;m;1
4;Philipp;m;1
4;Sam;m;1
4;Tobias;m;1
3;Anh;w;3
3;Emily;w;2
3;Grace;w;2
3;Ida;w;2
3;Joleen;w;2
3;Leonie;w;2
3;Lisa;w;2
3;Daniel;m;2
3;Friedrich;m;2
3;Jayden;m;2
3;Louis;m;2
3;Mateo;m;2
3;Matthias;m;2
3;Patrick;m;2
3;Pepe;m;2
3;Tyler;m;2
3;Alisa;w;1
3;Elina;w;1
3;Hannah;w;1
3;Isabell;w;1
3;Isabella;w;1
3;Adrian;m;1
3;Jasmin;w;1
3;Ahmed;m;1
3;Lea;w;1
3;Aiden;m;1
3;Luna;w;1
3;Alessio;m;1
3;Maria;w;1
3;Arthur;m;1
3;Marlene;w;1
3;Devin;m;1
3;Nina;w;1
3;Eddie;m;1
3;Paulina;w;1
3;Enno;m;1
3;Pauline;w;1
3;Florian;m;1
3;Ronja;w;1
3;Ibrahim;m;1
3;Sara;w;1
3;Jan;m;1
3;Victoria;w;1
3;Jannis;m;1
3;Johannes;m;1
3;John;m;1
3;Lian;m;1
3;Linus;m;1
3;Maksim;m;1
3;Mats;m;1
3;Maximilian;m;1
3;Milan;m;1
3;Mohammad;m;1
3;Pepe;m;1
3;Richard;m;1
3;Theodor;m;1
3;Toni;m;1
3;Valentin;m;1
