anzahl;vorname;geschlecht;position
62;Sophie;w;2
61;Marie;w;2
52;Emilia;w;1
45;Maria;w;2
37;Charlotte;w;2
37;Noah;m;1
37;Ella;w;1
35;Alexander;m;2
34;Jonas;m;1
34;Hannah;w;1
31;Emma;w;1
30;Maximilian;m;2
30;Emil;m;1
30;Charlotte;w;1
30;Mia;w;1
29;Anna;w;1
28;Felix;m;1
26;Ali;m;1
26;Jakob;m;1
26;Maximilian;m;1
25;Elias;m;1
25;Mila;w;1
25;Oskar;m;1
24;Clara;w;1
24;Milan;m;1
24;Johanna;w;1
24;Paul;m;1
22;Johanna;w;2
22;Adam;m;1
22;Samuel;m;1
21;Elisabeth;w;2
21;Maria;w;1
20;Finn;m;1
20;Jonathan;m;1
20;Julian;m;1
19;Ava;w;1
19;Sophia;w;1
19;Alexander;m;1
18;Elias;m;2
18;Luise;w;2
18;Ela;w;1
18;Helena;w;1
18;Ida;w;1
18;Lea;w;1
18;Theodor;m;1
18;Mira;w;1
17;Benjamin;m;1
17;Lena;w;1
17;Karl;m;1
17;Leo;m;1
17;Leon;m;1
17;Linus;m;1
17;Luis;m;1
17;Theo;m;1
16;Paul;m;2
16;Amelie;w;1
16;Lina;w;1
16;Sofia;w;1
16;Sophie;w;1
16;Anton;m;1
16;Leonard;m;1
16;Vincent;m;1
15;Louis;m;2
15;Valentin;m;2
15;Nur;w;2
15;Sophia;w;2
15;Alma;w;1
15;Frida;w;1
15;Frieda;w;1
15;Mathilda;w;1
15;Adrian;m;1
15;Ben;m;1
15;Henry;m;1
15;Moritz;m;1
15;Muhammed;m;1
14;Karl;m;2
14;Helene;w;2
14;Emily;w;1
14;Greta;w;1
14;Klara;w;1
14;Leni;w;1
14;Luise;w;1
14;Nele;w;1
14;Arthur;m;1
14;Paula;w;1
14;Bruno;m;1
14;Jan;m;1
14;Louis;m;1
13;Emil;m;2
13;Antonia;w;2
13;Elif;w;1
13;Leonie;w;1
13;Lilly;w;1
13;Emilio;m;1
13;Maja;w;1
13;Justus;m;1
13;Niklas;m;1
13;Raphael;m;1
13;Tom;m;1
12;Ali;m;2
12;Sebastian;m;2
12;Antonia;w;1
12;Elena;w;1
12;Mina;w;1
12;Sarah;w;1
12;Amir;m;1
12;Daniel;m;1
12;David;m;1
12;Emir;m;1
12;Fabian;m;1
12;Henri;m;1
12;Levi;m;1
12;Liam;m;1
12;Luca;m;1
12;Mert;m;1
11;Christian;m;2
11;David;m;2
11;Anna;w;2
11;Jakob;m;2
11;Emilia;w;2
11;Thomas;m;2
11;Magdalena;w;2
11;Pauline;w;2
11;Victoria;w;2
11;Elisa;w;1
11;Elisabeth;w;1
11;Isabella;w;1
11;Marie;w;1
11;Matilda;w;1
11;Meryem;w;1
11;Nora;w;1
11;Pauline;w;1
11;Erik;m;1
11;Johann;m;1
11;Konstantin;m;1
11;Omar;m;1
11;Tim;m;1
10;Sophie;w;3
10;Felix;m;2
10;Friedrich;m;2
10;Johannes;m;2
10;Louise;w;2
10;Luca;m;2
10;Mathilda;w;2
10;Noah;m;2
10;Alina;w;1
10;Carlotta;w;1
10;Elina;w;1
10;Eva;w;1
10;Flora;w;1
10;Hanna;w;1
10;Julia;w;1
10;Ahmad;m;1
10;Luisa;w;1
10;Joshua;m;1
10;Luna;w;1
10;Luka;m;1
10;Maya;w;1
10;Mika;m;1
10;Merle;w;1
10;Milo;m;1
10;Olivia;w;1
10;Ole;m;1
10;Thea;w;1
10;Oscar;m;1
9;Josephine;w;2
9;Benjamin;m;2
9;Katharina;w;2
9;Levi;m;2
9;Juna;w;1
9;Florian;m;1
9;Lara;w;1
9;Friedrich;m;1
9;Laura;w;1
9;Hugo;m;1
9;Lia;w;1
9;Jonah;m;1
9;Liya;w;1
9;Julius;m;1
9;Nisa;w;1
9;Leonardo;m;1
9;Sara;w;1
9;Lukas;m;1
9;Matteo;m;1
9;Max;m;1
9;Philipp;m;1
9;Ömer;m;1
8;Elise;w;2
8;Aaron;m;2
8;Lea;w;2
8;Anton;m;2
8;Luisa;w;2
8;Can;m;2
8;Ruth;w;2
8;Johann;m;2
8;Su;w;2
8;Leonard;m;2
8;Viktoria;w;2
8;Theodor;m;2
8;Yasin;m;2
8;Carla;w;1
8;Eleni;w;1
8;Fiona;w;1
8;Karla;w;1
8;Lily;w;1
8;Bennet;m;1
8;Melina;w;1
8;Carl;m;1
8;Selma;w;1
8;Enno;m;1
8;Theresa;w;1
8;Filip;m;1
8;Victoria;w;1
8;Fritz;m;1
8;Gabriel;m;1
8;Hamza;m;1
8;Lasse;m;1
8;Malik;m;1
8;Mikail;m;1
8;Mohammad;m;1
8;Mohammed;m;1
8;Rafael;m;1
8;Valentin;m;1
8;Yusuf;m;1
7;Maria;w;3
7;Elisa;w;2
7;Lou;w;2
7;Adrian;m;2
7;Isa;m;2
7;Jonas;m;2
7;Leon;m;2
7;Amalia;w;1
7;Lisa;w;1
7;Livia;w;1
7;Mariam;w;1
7;Marlene;w;1
7;Tilda;w;1
7;Zoe;w;1
7;Artur;m;1
7;Caspar;m;1
7;Constantin;m;1
7;Janosch;m;1
7;Jasper;m;1
7;Leopold;m;1
7;Mattis;m;1
7;Miran;m;1
7;Mohamad;m;1
7;Robin;m;1
7;Simon;m;1
6;Marie;w;3
6;Alexandra;w;2
6;Ava;w;2
6;Frieda;w;2
6;Helena;w;2
6;Andreas;m;2
6;Ida;w;2
6;Arthur;m;2
6;Isabel;w;2
6;Ben;m;2
6;Lucia;w;2
6;Carl;m;2
6;Olivia;w;2
6;Constantin;m;2
6;Fabian;m;2
6;Finn;m;2
6;Frederik;m;2
6;Hamza;m;2
6;Henry;m;2
6;Josef;m;2
6;Michael;m;2
6;Ole;m;2
6;Alessia;w;1
6;Aleyna;w;1
6;Finja;w;1
6;Jasmin;w;1
6;Leyla;w;1
6;Lilia;w;1
6;Linda;w;1
6;Lucia;w;1
6;Mara;w;1
6;Martha;w;1
6;Milena;w;1
6;Nina;w;1
6;Paulina;w;1
6;Zeynep;w;1
6;Bilal;m;1
6;Hüseyin;m;1
6;Ilyas;m;1
6;Junis;m;1
6;Karim;m;1
6;Kasimir;m;1
6;Kenan;m;1
6;Kian;m;1
6;Lian;m;1
6;Lucas;m;1
6;Mark;m;1
6;Marlon;m;1
6;Mats;m;1
6;Michael;m;1
6;Muhammad;m;1
6;Nils;m;1
6;Piet;m;1
6;Yasin;m;1
6;Yassin;m;1
6;Yiğit;m;1
5;Amalia;w;2
5;Carlotta;w;2
5;Christine;w;2
5;Clara;w;2
5;Eleni;w;2
5;Emilie;w;2
5;Franziska;w;2
5;Julia;w;2
5;Lina;w;2
5;Emanuel;m;2
5;Lotta;w;2
5;Joel;m;2
5;Valentina;w;2
5;Justus;m;2
5;Levin;m;2
5;Lukas;m;2
5;Martin;m;2
5;Oscar;m;2
5;Peter;m;2
5;Philipp;m;2
5;William;m;2
5;Ada;w;1
5;Alice;w;1
5;Amani;w;1
5;Amelia;w;1
5;Amira;w;1
5;Azra;w;1
5;Defne;w;1
5;Elin;w;1
5;Esila;w;1
5;Hedi;w;1
5;Jana;w;1
5;Josephine;w;1
5;Larissa;w;1
5;Lotta;w;1
5;Lou;w;1
5;Madita;w;1
5;Malina;w;1
5;Melisa;w;1
5;Miray;w;1
5;Miriam;w;1
5;Naomi;w;1
5;Aaron;m;1
5;Romy;w;1
5;Ahmed;m;1
5;Talia;w;1
5;Burak;m;1
5;Zehra;w;1
5;Elian;m;1
5;Emilian;m;1
5;Eymen;m;1
5;Ferdinand;m;1
5;Fynn;m;1
5;Hussein;m;1
5;Ibrahim;m;1
5;Jannis;m;1
5;Johannes;m;1
5;Jona;m;1
5;Kerem;m;1
5;Khaled;m;1
5;Kilian;m;1
5;Luke;m;1
5;Mahdi;m;1
5;Mateo;m;1
5;Matti;m;1
5;Mehmet;m;1
5;Mustafa;m;1
5;Sam;m;1
5;Timo;m;1
5;Toni;m;1
4;Ali;m;3
4;Anton;m;3
4;Michael;m;3
4;Luise;w;3
4;Aaliyah;w;2
4;Amelie;w;2
4;Erika;w;2
4;Greta;w;2
