anzahl;vorname;geschlecht;position
18;Marie;w;2
17;Emma;w;1
15;Sophie;w;2
14;Alexander;m;2
13;Leon;m;1
12;Maria;w;2
12;Emil;m;1
12;Felix;m;1
11;Mia;w;1
11;Noah;m;1
11;Oskar;m;1
10;Anton;m;1
10;Ben;m;1
10;Jonas;m;1
10;Max;m;1
10;Maximilian;m;1
9;Charlotte;w;1
9;Lina;w;1
9;Nele;w;1
9;Leo;m;1
9;Moritz;m;1
8;Charlotte;w;2
8;Ella;w;1
8;Emilia;w;1
8;Hannah;w;1
8;Marlene;w;1
8;Finn;m;1
8;Julian;m;1
8;Linus;m;1
8;Louis;m;1
8;Theodor;m;1
7;Paul;m;2
7;Clara;w;1
7;Hanna;w;1
7;Maja;w;1
7;Marie;w;1
7;Mira;w;1
7;Pauline;w;1
7;Elias;m;1
7;Karl;m;1
7;Lukas;m;1
7;Paul;m;1
6;Greta;w;1
6;Ida;w;1
6;Luise;w;1
6;Mathilda;w;1
6;Friedrich;m;1
6;Luca;m;1
6;Oliver;m;1
5;Luca;m;2
5;Maximilian;m;2
5;Noel;m;2
5;Lucia;w;2
5;Mathilda;w;2
5;Amy;w;1
5;Johanna;w;1
5;Lisa;w;1
5;Lotta;w;1
5;Luisa;w;1
5;Florian;m;1
5;Melina;w;1
5;Jakob;m;1
5;Mila;w;1
5;Johann;m;1
5;Nora;w;1
5;Jonathan;m;1
5;Paula;w;1
5;Julius;m;1
5;Pia;w;1
5;Justus;m;1
5;Romy;w;1
5;Liam;m;1
5;Zoe;w;1
5;Malte;m;1
5;Ole;m;1
5;Pepe;m;1
4;Felix;m;2
4;Frederick;m;2
4;Ida;w;2
4;Karl;m;2
4;Pauline;w;2
4;Martin;m;2
4;Stefan;m;2
4;Thomas;m;2
4;Anna;w;1
4;Antonia;w;1
4;Frida;w;1
4;Arthur;m;1
4;Frieda;w;1
4;Benjamin;m;1
4;Helena;w;1
4;Eric;m;1
4;Lea;w;1
4;Fabian;m;1
4;Leonie;w;1
4;Frederik;m;1
4;Maya;w;1
4;John;m;1
4;Milla;w;1
4;Konstantin;m;1
4;Mina;w;1
4;Luis;m;1
4;Olivia;w;1
4;Matteo;m;1
4;Viktoria;w;1
4;Mika;m;1
4;Richard;m;1
4;Samuel;m;1
4;Tim;m;1
4;Valentin;m;1
4;Vincent;m;1
3;Elisabeth;w;3
3;Maria;w;3
3;Elisa;w;2
3;Elisabeth;w;2
3;Elsa;w;2
3;Albert;m;2
3;Gerda;w;2
3;Bruno;m;2
3;Johanna;w;2
3;Emil;m;2
3;Luise;w;2
3;Erik;m;2
3;Victoria;w;2
3;Jonas;m;2
3;Levi;m;2
3;Philipp;m;2
3;Tiberius;m;2
3;Wilhelm;m;2
3;Amelie;w;1
3;Elisa;w;1
3;Elisabeth;w;1
3;Emily;w;1
3;Helene;w;1
3;Jasmin;w;1
3;Adam;m;1
3;Jonna;w;1
3;Benedikt;m;1
3;Klara;w;1
3;Daniel;m;1
3;Lara;w;1
3;Dean;m;1
3;Laura;w;1
3;Edgar;m;1
3;Leonora;w;1
3;Emilio;m;1
3;Lucia;w;1
3;Emir;m;1
3;Marla;w;1
3;Enno;m;1
3;Merle;w;1
3;Erik;m;1
3;Sarah;w;1
3;Fritz;m;1
3;Sophia;w;1
3;Fynn;m;1
3;Sophie;w;1
3;Gustav;m;1
3;Sunny;w;1
3;Henri;m;1
3;Theresa;w;1
3;Henry;m;1
3;Tilda;w;1
3;Jan;m;1
3;Yuna;w;1
3;Jayden;m;1
3;Kilian;m;1
3;Levi;m;1
3;Lucas;m;1
3;Ludwig;m;1
3;Luke;m;1
3;Mats;m;1
3;Milan;m;1
3;Milo;m;1
3;Nick;m;1
3;Niklas;m;1
3;Noel;m;1
3;Philipp;m;1
3;Ruben;m;1
3;Theo;m;1
2;Hans;m;3
2;Martin;m;3
2;Wilhelm;m;3
2;Brigitte;w;3
2;Charlotte;w;3
2;Ghuman;w;3
2;Irmgard;w;3
2;Margarete;w;3
2;Amalia;w;2
2;Anna;w;2
2;Antonia;w;2
2;Auguste;w;2
2;Clara;w;2
2;Andreas;m;2
2;Ella;w;2
2;Ben;m;2
2;Emilia;w;2
2;Benjamin;m;2
2;Fabienne;w;2
2;Bennet;m;2
2;Florentine;w;2
2;Christian;m;2
2;Frieda;w;2
2;Christopher;m;2
2;Hannah;w;2
2;Elias;m;2
2;Helena;w;2
2;Ferdinand;m;2
2;Helene;w;2
2;Fritz;m;2
2;Hope;w;2
2;Georg;m;2
2;Karlotta;w;2
2;Hendrik;m;2
2;Katharina;w;2
2;Henry;m;2
2;Layla;w;2
2;Jakob;m;2
2;Lee;w;2
2;Jonathan;m;2
2;Lia;w;2
2;Joshua;m;2
2;Lotte;w;2
2;Julian;m;2
2;Louise;w;2
2;Kay;m;2
2;Luisa;w;2
2;Kurt;m;2
2;Margarete;w;2
2;Leonard;m;2
2;Marleen;w;2
2;Liam;m;2
2;Matilda;w;2
2;Luis;m;2
2;Melody;w;2
2;Mark;m;2
2;Paula;w;2
2;Matteo;m;2
2;Rosa;w;2
2;Michael;m;2
2;Rosalie;w;2
2;Oskar;m;2
2;Rose;w;2
2;Pascal;m;2
2;Ruth;w;2
2;Ralf;m;2
2;Sophia;w;2
2;Richard;m;2
2;Valeska;w;2
2;Rolf;m;2
2;Wilhelmine;w;2
2;Stephan;m;2
2;Zoe;w;2
2;Theodor;m;2
2;Valentin;m;2
2;Vincent;m;2
2;Werner;m;2
2;Alessia;w;1
2;Alwina;w;1
2;Annabell;w;1
2;Aurelia;w;1
2;Ava;w;1
2;Carlotta;w;1
2;Cilia;w;1
2;Donya;w;1
2;Edda;w;1
2;Elena;w;1
2;Elina;w;1
2;Elli;w;1
2;Elsa;w;1
2;Enna;w;1
2;Estelle;w;1
2;Adrian;m;1
2;Finja;w;1
2;Albert;m;1
2;Freya;w;1
2;Alexander;m;1
2;Freyja;w;1
2;Amir;m;1
2;Ivy;w;1
2;Arvid;m;1
2;Josefine;w;1
2;Bruno;m;1
2;Julia;w;1
2;Caio;m;1
2;Juna;w;1
2;Casimir;m;1
2;Karla;w;1
2;Charlie;m;1
2;Lena;w;1
2;Christoph;m;1
2;Leni;w;1
2;David;m;1
2;Leony;w;1
2;Denis;m;1
2;Lia;w;1
2;Diego;m;1
2;Liliana;w;1
2;Elyas;m;1
2;Lilli;w;1
2;Ferdinand;m;1
2;Lilly;w;1
2;Fiete;m;1
2;Lotte;w;1
2;Finnley;m;1
2;Louisa;w;1
2;Gabriel;m;1
2;Lucy;w;1
2;Hendrik;m;1
2;Malin;w;1
2;Jannik;m;1
2;Maria;w;1
2;Jannis;m;1
2;Maryam;w;1
2;Jesko;m;1
2;Mathea;w;1
2;Joel;m;1
2;Matilda;w;1
2;Jonah;m;1
2;Melissa;w;1
2;Joshua;m;1
2;Milena;w;1
2;Jurek;m;1
2;Miriam;w;1
2;Juri;m;1
