anzahl;vorname;geschlecht;position
77;Marie;w;2
64;Sophie;w;2
53;Maria;w;2
46;Alexander;m;2
45;Charlotte;w;2
41;Anton;m;1
40;Emilia;w;1
39;Maximilian;m;2
39;Emil;m;1
39;Charlotte;w;1
36;Maximilian;m;1
36;Mila;w;1
33;Clara;w;1
31;Jakob;m;1
31;Noah;m;1
29;Elias;m;1
29;Theodor;m;1
28;Mia;w;1
27;Anna;w;1
27;Lina;w;1
27;Alexander;m;1
27;Marie;w;1
26;Elisabeth;w;2
26;Paul;m;1
25;Emma;w;1
25;Jonathan;m;1
25;Leon;m;1
24;Luise;w;2
24;Julius;m;1
24;Levi;m;1
23;Emil;m;2
23;Lea;w;1
22;Ava;w;1
22;Johanna;w;1
22;Ben;m;1
22;Felix;m;1
22;Karl;m;1
22;Niklas;m;1
21;Leonard;m;2
21;Hannah;w;1
21;Sophia;w;1
21;Leonard;m;1
21;Liam;m;1
20;Jonas;m;1
20;Theo;m;1
19;Paul;m;2
19;Greta;w;1
19;Maria;w;1
19;Adam;m;1
19;Leo;m;1
18;Carl;m;2
18;Hanna;w;1
18;Ida;w;1
18;David;m;1
18;Louis;m;1
18;Luca;m;1
17;Anton;m;2
17;Sophia;w;2
17;Elias;m;2
17;Alma;w;1
17;Lara;w;1
17;Lena;w;1
17;Leni;w;1
17;Adrian;m;1
17;Arthur;m;1
17;Finn;m;1
17;Luis;m;1
17;Moritz;m;1
17;Philipp;m;1
16;Anna;w;2
16;Benjamin;m;2
16;Ella;w;1
16;Matilda;w;1
16;Mira;w;1
16;Paula;w;1
16;Thea;w;1
16;Victoria;w;1
16;Lukas;m;1
15;Emilia;w;2
15;Ali;m;2
15;Valentin;m;2
15;Frieda;w;1
15;Helena;w;1
15;Klara;w;1
15;Lia;w;1
15;Valentin;m;1
15;Vincent;m;1
14;Elisa;w;1
14;Leonie;w;1
14;Luise;w;1
14;Olivia;w;1
13;David;m;2
13;Karl;m;2
13;Louis;m;2
13;Ali;m;1
13;Johann;m;1
13;Elena;w;1
13;Kian;m;1
13;Liya;w;1
13;Mateo;m;1
13;Mathilda;w;1
13;Oskar;m;1
13;Nora;w;1
13;Samuel;m;1
13;Sara;w;1
13;Sophie;w;1
12;Johanna;w;2
12;Marlene;w;2
12;Valentina;w;2
12;Simon;m;1
12;Laura;w;1
12;Luisa;w;1
12;Maya;w;1
11;Helene;w;2
11;Johannes;m;2
11;Bruno;m;1
11;Friedrich;m;1
11;Henri;m;1
11;Henry;m;1
11;Amalia;w;1
11;Linus;m;1
11;Elisabeth;w;1
11;Milan;m;1
11;Emily;w;1
11;Tom;m;1
11;Marlene;w;1
11;Mina;w;1
11;Selma;w;1
10;Alexandra;w;2
10;Rosa;w;2
10;Felix;m;2
10;Friedrich;m;2
10;Johann;m;2
10;Leon;m;2
10;Theodor;m;2
10;Wilhelm;m;2
10;Amir;m;1
10;Benjamin;m;1
10;Carl;m;1
10;Elif;w;1
10;Hugo;m;1
10;Romy;w;1
10;Johannes;m;1
10;Tilda;w;1
10;Julian;m;1
10;Zoe;w;1
10;Mats;m;1
10;Mika;m;1
9;Sophie;w;3
9;Luisa;w;2
9;Mathilda;w;2
9;Julius;m;2
9;Amelie;w;1
9;Eva;w;1
9;Ahmad;m;1
9;Isabella;w;1
9;Ahmed;m;1
9;Julia;w;1
9;Benedikt;m;1
9;Daniel;m;1
9;Emir;m;1
9;Erik;m;1
9;Lasse;m;1
9;Matteo;m;1
9;Yusuf;m;1
8;Elisabeth;w;3
8;Marie;w;3
8;Helena;w;2
8;Katharina;w;2
8;Louise;w;2
8;Sofia;w;2
8;Victoria;w;2
8;August;m;2
8;Jakob;m;2
