anzahl;vorname;geschlecht;position
48;Marie;w;2
37;Sophie;w;2
33;Maria;w;2
27;Emil;m;1
27;Emma;w;1
25;Anna;w;1
24;Alexander;m;1
24;Felix;m;1
23;Leon;m;1
23;Oskar;m;1
22;Frida;w;1
22;Lea;w;1
22;Mila;w;1
22;Anton;m;1
22;Finn;m;1
22;Noah;m;1
21;Maximilian;m;2
21;Ella;w;1
21;Mia;w;1
21;Ali;m;1
20;Johanna;w;1
20;Ben;m;1
20;David;m;1
20;Lukas;m;1
20;Paul;m;1
19;Alma;w;1
19;Charlotte;w;1
19;Clara;w;1
19;Emilia;w;1
19;Elias;m;1
19;Karl;m;1
18;Charlotte;w;2
18;Sophia;w;1
18;Leo;m;1
18;Milan;m;1
17;Alexander;m;2
16;Ali;m;2
16;Elisabeth;w;2
16;Ava;w;1
16;Ida;w;1
16;Lina;w;1
16;Marie;w;1
16;Leonard;m;1
16;Mira;w;1
15;Arthur;m;1
15;Lena;w;1
15;Erik;m;1
15;Mathilda;w;1
15;Henry;m;1
15;Jonathan;m;1
15;Max;m;1
15;Maximilian;m;1
15;Muhammed;m;1
14;Emil;m;2
14;Frieda;w;1
14;Greta;w;1
14;Hanna;w;1
14;Leni;w;1
14;Nina;w;1
14;Louis;m;1
14;Tilda;w;1
14;Luca;m;1
14;Theo;m;1
14;Theodor;m;1
13;Benjamin;m;2
13;Jonathan;m;2
13;Karl;m;2
13;Paul;m;2
13;Elena;w;1
13;Elisa;w;1
13;Marlene;w;1
13;Jakob;m;1
13;Jonas;m;1
13;Linus;m;1
13;Luis;m;1
12;Johanna;w;2
12;David;m;2
12;Elias;m;2
12;Maria;w;1
12;Maya;w;1
12;Nele;w;1
12;Aaron;m;1
12;Daniel;m;1
12;Julian;m;1
12;Milo;m;1
12;Moritz;m;1
11;Anton;m;2
11;Levi;m;2
11;Ada;w;1
11;Alice;w;1
11;Emily;w;1
11;Lara;w;1
11;Matilda;w;1
11;Mina;w;1
11;Adam;m;1
11;Nora;w;1
11;Johann;m;1
11;Olivia;w;1
11;Julius;m;1
11;Sophie;w;1
11;Juri;m;1
11;Valentin;m;1
10;Carlotta;w;2
10;Marlene;w;2
10;Theodor;m;2
10;Flora;w;1
10;Julia;w;1
10;Carl;m;1
10;Lia;w;1
10;Hamza;m;1
10;Lisa;w;1
10;Maxim;m;1
10;Paula;w;1
10;Niklas;m;1
10;Sarah;w;1
10;Sofia;w;1
9;Luisa;w;2
9;Luise;w;2
9;Nur;w;2
9;Rose;w;2
9;August;m;2
9;Felix;m;2
9;Friedrich;m;2
9;Jakob;m;2
9;Louis;m;2
9;Adrian;m;1
9;Bela;m;1
9;Amalia;w;1
9;Emir;m;1
9;Finja;w;1
9;Jonah;m;1
9;Josephine;w;1
9;Levi;m;1
9;Juna;w;1
9;Vincent;m;1
9;Laura;w;1
9;Rosa;w;1
9;Zoe;w;1
8;Katharina;w;2
8;Lea;w;2
8;Noah;m;2
8;Henri;m;1
8;Karim;m;1
8;Mateo;m;1
8;Alexandra;w;1
8;Matti;m;1
8;Amelia;w;1
8;Mattis;m;1
8;Elif;w;1
8;Mohamad;m;1
8;Elisabeth;w;1
8;Mohammed;m;1
8;Hannah;w;1
8;Nathan;m;1
8;Helena;w;1
8;Samuel;m;1
8;Isabella;w;1
8;Tim;m;1
8;Jasmin;w;1
8;Klara;w;1
8;Liv;w;1
8;Liya;w;1
8;Lola;w;1
8;Yuna;w;1
8;Zeynep;w;1
7;Anna;w;2
7;Clara;w;2
7;Emilia;w;2
7;Margarete;w;2
7;Mina;w;2
7;Henry;m;2
7;Sofia;w;2
7;Johann;m;2
7;Sophia;w;2
7;Luca;m;2
7;Valentin;m;2
7;Benjamin;m;1
7;Carlo;m;1
7;Edgar;m;1
7;Kevin;m;1
7;Liam;m;1
7;Malte;m;1
7;Mehmet;m;1
7;Ela;w;1
7;Mika;m;1
7;Eva;w;1
7;Muhammad;m;1
7;Lilly;w;1
7;Omar;m;1
7;Lotte;w;1
7;Philipp;m;1
7;Maryam;w;1
7;Yiğit;m;1
7;Theresa;w;1
6;An;w;3
6;Anh;w;3
6;Josephine;w;2
6;Lou;w;2
6;Can;m;2
6;Louise;w;2
6;Frederik;m;2
6;Mia;w;2
6;Gabriel;m;2
6;Su;w;2
6;Johannes;m;2
6;Valentina;w;2
6;Julian;m;2
6;Leander;m;2
6;Otto;m;2
6;Thomas;m;2
6;Amir;m;1
6;Alva;w;1
6;Fritz;m;1
6;Anouk;w;1
6;Gabriel;m;1
6;Antonia;w;1
6;Hugo;m;1
6;Aya;w;1
6;Jacob;m;1
6;Elina;w;1
6;James;m;1
6;Karla;w;1
6;Jan;m;1
6;Leonie;w;1
6;Janosch;m;1
6;Luisa;w;1
6;Jasper;m;1
6;Luise;w;1
6;Jonte;m;1
6;Maja;w;1
6;Joshua;m;1
6;Martha;w;1
6;Justus;m;1
6;Melina;w;1
6;Leonardo;m;1
6;Merle;w;1
6;Lio;m;1
6;Meryem;w;1
6;Lucas;m;1
6;Pauline;w;1
6;Marten;m;1
6;Tamara;w;1
6;Mio;m;1
6;Yasmin;w;1
6;Miran;m;1
6;Mohammad;m;1
6;Rayan;m;1
6;Rio;m;1
6;Simon;m;1
6;Yunus;m;1
5;Otto;m;3
5;Elisabeth;w;3
5;Anh;w;2
5;Antonia;w;2
5;Bảo;w;2
5;Elena;w;2
5;Anh;m;2
5;Elise;w;2
5;Bo;m;2
5;Ella;w;2
5;Christian;m;2
5;Hannah;w;2
5;Emanuel;m;2
5;Ida;w;2
5;Joel;m;2
5;Ingrid;w;2
5;Konstantin;m;2
5;Laura;w;2
5;Michael;m;2
5;Rosa;w;2
5;Philipp;m;2
5;Rosalie;w;2
5;Richard;m;2
5;Victoria;w;2
5;Willi;m;2
5;Alina;w;1
5;Amelie;w;1
5;Anni;w;1
5;Azra;w;1
5;Elise;w;1
5;Esila;w;1
5;Ahmad;m;1
5;Jana;w;1
5;Albert;m;1
5;Linda;w;1
5;Aras;m;1
5;Lotta;w;1
5;Bilal;m;1
5;Lucia;w;1
5;Bruno;m;1
5;Lucy;w;1
5;Emilio;m;1
5;Magdalena;w;1
5;Enno;m;1
5;Marla;w;1
5;Fiete;m;1
5;Rosalie;w;1
5;Filip;m;1
5;Ruby;w;1
5;Friedrich;m;1
5;Sara;w;1
5;Ibrahim;m;1
5;Thea;w;1
5;Joel;m;1
5;Toni;w;1
5;Junis;m;1
5;Zoey;w;1
5;Karlo;m;1
5;Mert;m;1
5;Mikail;m;1
5;Mohamed;m;1
5;Musa;m;1
5;Nicolas;m;1
5;Ole;m;1
5;Oscar;m;1
5;Otto;m;1
5;Titus;m;1
5;Wim;m;1
5;Yusuf;m;1
4;Anh;m;3
4;Charlotte;w;3
4;Alexandra;w;2
4;Bruno;m;2
4;Amalia;w;2
4;Bảo;m;2
4;Ela;w;2
4;Daniel;m;2
4;Elizabeth;w;2
4;Finn;m;2
4;Eva;w;2
4;Fynn;m;2
4;Freya;w;2
4;Georg;m;2
4;Frieda;w;2
4;Hamza;m;2
4;Hedi;w;2
4;Jasper;m;2
4;Josefine;w;2
4;Johan;m;2
4;Lee;w;2
4;Julius;m;2
4;Leia;w;2
4;Konrad;m;2
4;Lotta;w;2
4;Leo;m;2
4;Lotte;w;2
4;Leon;m;2
4;Martha;w;2
4;Leonard;m;2
4;Mathilda;w;2
4;Levin;m;2
4;Matilda;w;2
4;Liam;m;2
4;Meryem;w;2
4;Linus;m;2
4;Pia;w;2
4;Lion;m;2
4;Luis;m;2
4;Minh;m;2
4;Moritz;m;2
4;Ole;m;2
4;Oscar;m;2
4;Osman;m;2
4;Salih;m;2
4;Sebastian;m;2
4;Vincent;m;2
4;Alisa;w;1
4;Annika;w;1
4;Asmin;w;1
4;Cleo;w;1
4;Dilara;w;1
4;Eda;w;1
4;Elsa;w;1
4;Emilie;w;1
4;Erika;w;1
4;Fritzi;w;1
4;Hatice;w;1
4;Hedda;w;1
4;Antonio;m;1
4;Helin;w;1
4;Arian;m;1
4;Hira;w;1
4;August;m;1
4;Juno;w;1
4;Béla;m;1
4;Linnea;w;1
4;Dylan;m;1
4;Livia;w;1
4;Edwin;m;1
4;Luca;w;1
4;Eren;m;1
4;Luna;w;1
4;Ertuğrul;m;1
4;Malak;w;1
4;Franz;m;1
4;Mariam;w;1
4;Gustav;m;1
4;Medina;w;1
4;Hannes;m;1
4;Melissa;w;1
4;Isa;m;1
4;Miriam;w;1
4;Johan;m;1
4;Paulina;w;1
4;Kian;m;1
4;Pia;w;1
4;Kilian;m;1
4;Rahel;w;1
4;Kuzey;m;1
4;Samira;w;1
4;Lasse;m;1
4;Selma;w;1
4;Lennart;m;1
4;Tina;w;1
4;Levin;m;1
4;Zehra;w;1
4;Luan;m;1
4;Zoé;w;1
4;Luka;m;1
4;Luke;m;1
4;Mads;m;1
4;Mahmoud;m;1
4;Malik;m;1
4;Mark;m;1
4;Matteo;m;1
4;Michael;m;1
4;Nick;m;1
4;Nils;m;1
4;Pablo;m;1
4;Pepe;m;1
4;Robin;m;1
4;Ruben;m;1
4;Till;m;1
4;Timo;m;1
4;Viktor;m;1
4;Yasin;m;1
4;Youssef;m;1
3;Elias;m;3
3;Friedrich;m;3
3;Hans;m;3
3;Klara;w;3
3;Julius;m;3
3;Luna;w;3
3;Khôi;m;3
3;Marie;w;3
3;Michael;m;3
3;Sophie;w;3
3;Richard;m;3
3;Vy;w;3
3;Walter;m;3
3;Aurelia;w;2
3;Bao;w;2
3;Elin;w;2
3;Elisa;w;2
3;Florentine;w;2
3;Grace;w;2
3;Greta;w;2
