anzahl;vorname;geschlecht;position
29;Ali;m;1
27;Marie;w;2
27;Emma;w;1
25;Sophie;w;2
18;Emilia;w;1
17;Adam;m;1
17;Noah;m;1
16;Mia;w;1
16;Elias;m;1
16;Maximilian;m;1
15;Emil;m;1
14;Lina;w;1
14;Leon;m;1
13;Alexander;m;2
13;Maria;w;2
13;Anna;w;1
13;Hannah;w;1
13;Johanna;w;1
13;Ahmad;m;1
13;Ben;m;1
13;Oskar;m;1
12;Mila;w;1
12;Mira;w;1
12;Amir;m;1
12;Paul;m;1
11;Sophie;w;1
11;Mohammad;m;1
10;Ali;m;2
10;Charlotte;w;1
10;Ella;w;1
10;Mina;w;1
10;Jakob;m;1
10;Sophia;w;1
10;Joshua;m;1
10;Liam;m;1
10;Luca;m;1
10;Ömer;m;1
9;Lara;w;1
9;Lea;w;1
9;David;m;1
9;Jonas;m;1
9;Lukas;m;1
8;Emilia;w;2
8;Hanna;w;1
8;Helena;w;1
8;Leonie;w;1
8;Lilly;w;1
8;Elyas;m;1
8;Erik;m;1
8;Felix;m;1
8;Hassan;m;1
8;Jonathan;m;1
8;Lennard;m;1
8;Mohamad;m;1
8;Muhammed;m;1
8;Yusuf;m;1
7;Noah;m;2
7;Valentin;m;2
7;Charlotte;w;2
7;Aylin;w;1
7;Clara;w;1
7;Elena;w;1
7;Laura;w;1
7;Lena;w;1
7;Leni;w;1
7;Maria;w;1
7;Marie;w;1
7;Meryem;w;1
7;Sofia;w;1
7;Finn;m;1
7;Jannis;m;1
7;Leo;m;1
7;Luis;m;1
7;Malik;m;1
7;Matteo;m;1
7;Max;m;1
7;Samuel;m;1
7;Theo;m;1
6;Ahmad;m;2
6;Elias;m;2
6;Elisabeth;w;2
6;Joel;m;2
6;Johanna;w;2
6;Luca;m;2
6;Lina;w;2
6;Michael;m;2
6;Luise;w;2
6;Antonia;w;1
6;Ava;w;1
6;Azra;w;1
6;Emily;w;1
6;Leyla;w;1
6;Liya;w;1
6;Maja;w;1
6;Malina;w;1
6;Mathilda;w;1
6;Alexander;m;1
6;Maya;w;1
6;Aras;m;1
6;Merle;w;1
6;Daniel;m;1
6;Nora;w;1
6;Emir;m;1
6;Gabriel;m;1
6;Hamza;m;1
6;Henry;m;1
6;Ilyas;m;1
6;Julian;m;1
6;Louis;m;1
6;Mika;m;1
6;Mohamed;m;1
6;Tom;m;1
5;Benjamin;m;2
5;Helene;w;2
5;Can;m;2
5;Nur;w;2
5;Daniel;m;2
5;Maximilian;m;2
5;Peter;m;2
5;Samuel;m;2
5;Alina;w;1
5;Amelie;w;1
5;Amira;w;1
5;Elif;w;1
5;Elin;w;1
5;Elina;w;1
5;Erva;w;1
5;Fatima;w;1
5;Ida;w;1
5;Isabella;w;1
5;Anton;m;1
5;Jasmin;w;1
5;Bruno;m;1
5;Lia;w;1
5;Enes;m;1
5;Lisa;w;1
5;Eymen;m;1
5;Lotta;w;1
5;Fritz;m;1
5;Lucy;w;1
5;Henri;m;1
5;Malia;w;1
5;Hussein;m;1
5;Mariam;w;1
5;Ibrahim;m;1
5;Marlene;w;1
5;Jayden;m;1
5;Matilda;w;1
5;Karim;m;1
5;Paula;w;1
5;Kerem;m;1
5;Sara;w;1
5;Kilian;m;1
5;Tuana;w;1
5;Leonard;m;1
