anzahl;vorname;geschlecht;position
16;Marie;w;2
14;Alexander;m;2
12;Paul;m;1
12;Charlotte;w;1
11;Charlotte;w;2
10;Leonard;m;1
9;Emil;m;2
9;Mia;w;1
9;Leon;m;1
9;Mila;w;1
9;Lukas;m;1
8;Emma;w;1
8;Ben;m;1
8;Noah;m;1
7;Sophie;w;2
7;Anna;w;1
7;Laura;w;1
7;Anton;m;1
7;David;m;1
7;Felix;m;1
7;Maximilian;m;1
6;Elias;m;2
6;Friedrich;m;2
6;Maria;w;2
6;Maximilian;m;2
6;Paul;m;2
6;Clara;w;1
6;Emilia;w;1
6;Hannah;w;1
6;Johanna;w;1
6;Benjamin;m;1
6;Lina;w;1
6;Emil;m;1
6;Nina;w;1
6;Vincent;m;1
6;Pia;w;1
5;Elisabeth;w;2
5;Klara;w;2
5;Felix;m;2
5;Luisa;w;2
5;Leonard;m;2
5;Finn;m;1
5;Julia;w;1
5;Henry;m;1
5;Maja;w;1
5;Joshua;m;1
5;Marie;w;1
5;Kilian;m;1
5;Sophie;w;1
5;Leo;m;1
5;Liam;m;1
5;Luis;m;1
5;Milan;m;1
5;Niklas;m;1
5;Philipp;m;1
5;Samuel;m;1
4;Maria;w;3
4;Johanna;w;2
4;Christian;m;2
4;Valentina;w;2
4;Julius;m;2
4;Leopold;m;2
4;Philipp;m;2
4;Amelia;w;1
4;Emily;w;1
4;Helena;w;1
4;Katharina;w;1
4;Lilly;w;1
4;Luisa;w;1
4;Maria;w;1
4;Alexander;m;1
4;Arthur;m;1
4;Carl;m;1
4;Jasper;m;1
4;Jonas;m;1
4;Louis;m;1
4;Matteo;m;1
4;Mika;m;1
4;Moritz;m;1
4;Oskar;m;1
4;Rafael;m;1
4;Theodor;m;1
3;Aurora;w;2
3;Emilia;w;2
3;Helene;w;2
3;Ben;m;2
3;Sofie;w;2
3;David;m;2
3;Sophia;w;2
3;James;m;2
3;Joel;m;2
3;Jonathan;m;2
3;Karl;m;2
3;Leon;m;2
3;Martin;m;2
3;Raphael;m;2
3;Theodor;m;2
3;Aliya;w;1
3;Amalia;w;1
3;Annabelle;w;1
3;Ella;w;1
3;Hanna;w;1
3;Ida;w;1
3;Lara;w;1
3;Leonie;w;1
3;Lia;w;1
3;Lily;w;1
3;Liv;w;1
3;Lola;w;1
3;Bruno;m;1
3;Louisa;w;1
3;Charlie;m;1
3;Luna;w;1
3;Diego;m;1
3;Marlene;w;1
3;Edgar;m;1
3;Mira;w;1
3;Elias;m;1
3;Nora;w;1
3;Jakob;m;1
3;Olivia;w;1
3;Jannes;m;1
3;Sofia;w;1
3;Janosch;m;1
3;Sophia;w;1
3;Joris;m;1
3;Victoria;w;1
3;Julian;m;1
3;Julius;m;1
3;Kian;m;1
3;Lion;m;1
3;Lucas;m;1
3;Mark;m;1
3;Mattis;m;1
3;Max;m;1
3;Michael;m;1
3;Raphael;m;1
3;Theo;m;1
3;Valentin;m;1
2;Andreas;m;3
2;Cornelius;m;3
2;Luise;w;3
2;Felix;m;3
2;Marie;w;3
2;Friedrich;m;3
2;Wilhelm;m;3
2;Alekseevna;w;2
2;Alice;w;2
2;Anna;w;2
2;Elisa;w;2
2;Elise;w;2
2;Ella;w;2
2;Emilie;w;2
2;Emily;w;2
2;Arthur;m;2
2;Eva;w;2
2;Benjamin;m;2
2;Hanna;w;2
2;Elian;m;2
2;Juliane;w;2
2;Emilian;m;2
2;Larissa;w;2
2;Frank;m;2
2;Lieselotte;w;2
2;Fritz;m;2
2;Luna;w;2
2;Gabriel;m;2
2;Melina;w;2
2;Georg;m;2
2;Mia;w;2
2;Jakob;m;2
2;Regina;w;2
2;Jesper;m;2
2;Rose;w;2
2;Johann;m;2
2;Rosemarie;w;2
2;Johannes;m;2
2;Samira;w;2
2;Julian;m;2
2;Victoria;w;2
2;Konstantin;m;2
2;Viola;w;2
2;Kurt;m;2
2;Luis;m;2
2;Maik;m;2
2;Matteo;m;2
2;Mike;m;2
2;Milan;m;2
2;Nikolaus;m;2
2;Noel;m;2
2;Peter;m;2
2;Rudi;m;2
2;Valentin;m;2
2;Wilhelm;m;2
2;Willi;m;2
2;William;m;2
2;Alessia;w;1
2;Alva;w;1
2;Amara;w;1
2;Amelie;w;1
2;Aurelia;w;1
2;Aylin;w;1
2;Elena;w;1
2;Elif;w;1
2;Elisa;w;1
2;Elisabeth;w;1
2;Elise;w;1
2;Elli;w;1
2;Aaron;m;1
2;Enna;w;1
2;Adam;m;1
2;Eva;w;1
2;Adrian;m;1
2;Frida;w;1
2;Andrés;m;1
2;Hilda;w;1
2;Constantin;m;1
2;Jana;w;1
2;Daniel;m;1
2;Karolina;w;1
2;Diar;m;1
2;Laya;w;1
2;Erik;m;1
2;Lea;w;1
2;Ferdinand;m;1
2;Lena;w;1
2;Finnley;m;1
2;Leticia;w;1
2;Florian;m;1
2;Liara;w;1
2;Frederik;m;1
2;Linnea;w;1
